name,amenity,shop,leisure,longitude,latitude,n_cafe_200m,n_supermarket_200m,n_convenience_200m,n_parking_200m,has_cinema_300m,avm_score,avm_label
Pusula Orman Ürünleri,,mall,,29.2656747,40.9804154,4,4,1,0,0,26,high
Olivium Outlet Center,,mall,,28.90979007438502,40.99538024883182,2,3,3,1,0,25,high
Hakmar,,mall,,29.2717838,40.9762045,0,5,2,0,0,24,high
Karınca,,mall,,29.2124792,41.0092934,8,2,0,0,0,24,high
Huzur,,mall,,29.2706895,40.9789909,0,6,0,0,0,24,high
Kardeşler Ticaret,,mall,,29.2588019,40.9676908,1,4,3,0,0,24,high
Güleryüz,,mall,,29.2820928,40.9536596,3,4,1,0,0,24,high
Kanyon AVM,,mall,,29.0112099,41.0781323,8,2,0,0,0,24,high
imç çarşısı 3.blok,,mall,,28.9580718,41.018166,2,2,0,4,0,24,high
Güleryüz AVM,,mall,,29.2752582,40.9669832,1,3,5,0,0,24,high
İnci toyz,,mall,,29.2593092,40.9675774,2,3,3,0,0,22,high
Babaman Center,,mall,,28.9564944,41.0089911,3,4,0,0,0,22,high
Vadistanbul Alışveriş Merkezi,,mall,,28.987363648580786,41.107530253487305,5,1,0,0,1,22,high
Alhas Gıda,,mall,,29.259553,40.9674802,1,3,3,0,0,20,high
Atrium AVM,,mall,,28.8458456178038,40.98876208526054,1,1,0,2,1,20,high
Metropol İstanbul,,mall,,29.1218458,40.994175,3,0,1,4,0,20,high
Öz keskin metal,,mall,,29.2634367,40.9755926,2,2,4,0,0,20,high
Çocuk Dünyası,,mall,,29.274766,40.9669492,1,2,5,0,0,20,high
guvendir zuccaciye,,mall,,29.2821524,40.9523217,3,3,1,0,0,20,high
Sancak Park AVM,,mall,,29.2107767,41.0102509,6,1,2,0,0,20,high
medikule avm,,mall,,28.7748725,41.094122,7,1,1,0,0,20,high
Brandium AVM,,mall,,29.132409403098137,40.98240780459611,6,2,0,0,0,20,high
Göknur Alışveriş,,mall,,29.2689354,40.9716864,1,3,3,0,0,20,high
Atlaspark,,mall,,29.255407107365148,40.96964060555926,5,2,0,0,0,18,high
Kapalıçarşı Mercan Kapısı,,mall,,28.9690068,41.0118115,6,1,1,0,0,18,high
Atirus,,mall,,28.58376652395762,41.02119677514792,2,3,1,0,0,18,high
Carousel Alışveriş ve Yaşam Merkezi,,mall,,28.87344687405536,40.9777824185465,3,3,0,0,0,18,high
Plato alışveriş merkezi,,mall,,29.2609936,40.9690227,2,1,5,0,0,18,high
Varışlı Plaza,,mall,,29.089257469732114,41.09368518880034,2,3,1,0,0,18,high
Showland,,mall,,28.8608588,41.1061834,5,1,2,0,0,18,high
Oruç,,mall,,29.2614669,40.9688117,1,1,4,1,0,17,high
İstanbul Cevahir Alışveriş ve Eğlence Merkezi,,mall,,28.992988487812408,41.062587507147576,4,1,1,1,0,17,high
Hakmar,,mall,,29.2747121,40.9802759,0,3,2,0,0,16,high
Sancak Park AVM,,mall,,29.211034754178737,41.01045418861358,4,1,2,0,0,16,high
BOMONTİ PARK,,mall,,28.9819133,41.0549874,4,2,0,0,0,16,high
Nisanur Ucuzluk Pazarı,,mall,,29.2696461,40.9730554,1,3,1,0,0,16,high
Hakmar,,mall,,29.2785859,40.9843851,0,3,2,0,0,16,high
World Atlantis AVM,,mall,,29.310532771756844,40.92822259351921,6,1,0,0,0,16,high
Forum İstanbul Alışveriş ve Yaşam Merkezi,,mall,,28.897535044645306,41.0466520539898,6,1,0,0,0,16,high
Sapphire,,mall,,29.00604976684489,41.0849612610735,3,1,1,1,0,15,mid
Mevlana Bazaar,,mall,,28.97978161861204,41.00268826037307,5,0,1,1,0,15,mid
Show Center,,mall,,28.9066908,41.0091089,1,2,1,1,0,15,mid
Venezia Mega Outlet,,mall,yes,28.877670734546594,41.08034822154311,6,0,0,1,0,15,mid
Ataköy Marina Park Alışveriş Merkezi,,mall,,28.87575891185884,40.973128596615695,5,0,1,1,0,15,mid
CarrefourSA Hiper,,mall,,28.65858489379172,41.01082308105915,4,1,0,1,0,15,mid
Tepe Nautilus Alışveriş Merkezi,,mall,,29.03151479989585,40.99961640561977,1,1,0,0,1,14,mid
İstinye park,,mall,,29.2561626,40.9630244,0,3,1,0,0,14,mid
Metronom Avm,,mall,,28.80346095,41.10418885,4,1,1,0,0,14,mid
Confident,,mall,,28.861258,41.1054442,4,1,1,0,0,14,mid
Terasium AVM,,mall,,28.80289085,41.108636450000006,1,3,0,0,0,14,mid
Tınaztepe Çarşı Pasajı,,mall,,28.87355945661005,40.97948253559928,3,2,0,0,0,14,mid
Trump Alışveriş Merkezi,,mall,,28.99232631038712,41.06842883639193,2,2,1,0,0,14,mid
Kozzy Alışveriş Merkezi,,mall,,29.091827656103607,40.96932521889754,2,2,1,0,0,14,mid
Redstar,,mall,,28.8284752,41.0236939,2,2,1,0,0,14,mid
Asya nakis,,mall,,28.8282815,41.0226934,3,1,2,0,0,14,mid
Akmerkez,,mall,,29.02692523112886,41.07685089595868,3,1,0,1,0,13,mid
First Avenue,,mall,,28.62669239526324,41.02019889818083,1,0,0,1,1,13,mid
Brand İstanbul Park,,mall,,28.64686003665332,41.01232853171669,2,2,0,0,0,12,mid
Oasis Cadde,,mall,,28.81128326769513,41.04033333230288,3,1,1,0,0,12,mid
Oruklar Avm,,mall,,29.2695549,40.9529929,0,2,2,0,0,12,mid
Ucuzluk pazari,,mall,,29.2763114,40.9802059,0,2,2,0,0,12,mid
Ömür Plaza,,mall,,28.873438845569712,40.9987555137831,4,1,0,0,0,12,mid
Biz Cevahir Haliç AVM,,mall,,28.94515371914856,41.07581056688259,2,2,0,0,0,12,mid
Innovia 2 Çarşı,,mall,,28.655808286473608,41.019918616575694,0,3,0,0,0,12,mid
Beylik 2 AVM,,mall,,28.6506323,40.9989841,0,3,0,0,0,12,mid
Eyüp Park Residence AVM,,mall,,28.927306044307528,41.080261294435225,4,1,0,0,0,12,mid
Canpark Alışveriş Merkezi,,mall,,29.1063989,41.0247304,3,0,0,2,0,12,mid
Hakmar,,mall,,29.2693007,40.9708833,1,1,3,0,0,12,mid
Emaar Square AVM,,mall,,29.0708629,41.0030972,2,1,0,1,0,11,mid
MetroCorner AVM,,mall,,29.162756956085342,41.016135050541536,0,2,0,1,0,11,mid
Sedef Perde,,mall,,28.7860451,41.0017523,1,0,4,0,0,10,mid
Akasya Alışveriş Merkezi,,mall,,29.054839373747697,41.00155566643046,3,1,0,0,0,10,mid
Kent Çarşı,,mall,,29.10432599666565,40.99723546638594,1,2,0,0,0,10,mid
Hukukçular Sitesi Çarşısı,,mall,,29.046549791763223,41.00555700562101,1,2,0,0,0,10,mid
Kadir Has AVM,,mall,,28.8643173,40.9960407,1,2,0,0,0,10,mid
E-Bebek,,mall,,28.8641597,40.9960597,1,2,0,0,0,10,mid
İnciler Pasajı,,mall,,28.654619561445607,41.01206817916302,2,1,1,0,0,10,mid
Gür Çarşı İş Hanı,,mall,,28.8740015,40.979692,3,1,0,0,0,10,mid
Oruç Market,,mall,,29.14140955047836,40.93909981687647,1,2,0,0,0,10,mid
Marmara Park,,mall,,28.659885596966365,41.00973548723992,3,1,0,0,0,10,mid
Ataköy A Plus AVM,,mall,,28.850395605495752,40.97844433969617,3,1,0,0,0,10,mid
Kırtasiye Tühafiye,,mall,,29.278122,40.94942,0,2,1,0,0,10,mid
Park Teras Alışveriş Merkezi,,mall,,28.63774736047668,41.003123541398814,1,2,0,0,0,10,mid
Mella Güzellik,,mall,,28.62745706576948,41.01980495366076,1,0,0,0,1,10,mid
Capacity Alışveriş ve Yaşam Merkezi,,mall,,28.87129706936316,40.97753003309397,1,2,0,0,0,10,mid
Andromeda AVM,,mall,,29.10621230276001,40.99135317784175,1,2,0,0,0,10,mid
Kiler GYO,,mall,,28.8302934,41.0445838,2,1,1,0,0,10,mid
212 Outlet,,mall,,28.81030197675914,41.04785347847478,1,1,2,0,0,10,mid
Textil Port,,mall,,28.9139851,41.0031981,1,1,0,1,0,9,mid
Bulvar 216 AVM,,mall,,29.110592149225027,40.99436079460913,3,0,0,1,0,9,mid
ArenaPark Alışveriş Ve Yaşam Merkezi,,mall,,28.791007051410023,41.05400629333884,2,1,0,0,0,8,mid
Göymen Hipermarketleri,,mall,,29.2799807,40.9822631,0,2,0,0,0,8,mid
Mall of İstanbul,,mall,,28.807075937323216,41.06296417350676,2,1,0,0,0,8,mid
Maltepe Park,,mall,,29.163925979132813,40.9190707326943,2,1,0,0,0,8,mid
Viaport Outlet Avm,,mall,,29.32491342851593,40.937623072672665,2,1,0,0,0,8,mid
Mozaik Çarşı,,mall,,29.135390816201667,40.98989889093054,2,1,0,0,0,8,mid
Nar Point AVM,,mall,,29.135856,40.99121385,2,1,0,0,0,8,mid
İstanbul Çarşı,,mall,,28.81018724033133,41.10066872857618,1,1,1,0,0,8,mid
Esenler Modern ve Kapalı Pazar Yeri,,mall,,28.886668365758005,41.03698103169082,0,2,0,0,0,8,mid
Esenkent Sunflower Çarşısı,,mall,,28.674980714832017,41.060011018876565,0,0,0,0,1,8,mid
Esenkent Moon Flower,,mall,,28.67621068654422,41.061060434410734,0,0,0,0,1,8,mid
Bahçeşehir KC G Çarşısı,,mall,,28.68593711220792,41.062785823467685,4,0,0,0,0,8,mid
Hakmar,,mall,,29.2718621,40.9681239,1,1,1,0,0,8,mid
fuaye,,mall,,29.163768803306013,40.94959480308227,0,2,0,0,0,8,mid
Güneşli Park,,mall,,28.82448897038876,41.03220519040256,2,1,0,0,0,8,mid
MiniMall AVM,,mall,,29.32936447294764,41.08421732973367,0,2,0,0,0,8,mid
Paradise AVM,,mall,,28.625324675220263,41.00403360868683,0,2,0,0,0,8,mid
Uyum Çarşı,,mall,,28.626466575224534,41.00530151139501,0,2,0,0,0,8,mid
Torium Avm,,mall,,28.688584895626068,41.00406201802196,2,1,0,0,0,8,mid
Migros AVM,,mall,,28.65773812924949,41.00674221412207,2,1,0,0,0,8,mid
Perlavista Alışveriş Merkezi,,mall,,28.62742942639115,41.016002581074375,0,0,0,0,1,8,mid
Prestige Mall AVM,,mall,,28.690993832781142,41.06772161681266,1,0,1,1,0,7,mid
Aqua Florya Alışveriş Merkezi,,mall,,28.79781904202592,40.9655111342469,2,0,0,1,0,7,mid
Yılmaz kardeşler,,mall,,29.2764616,40.9857619,0,1,1,0,0,6,mid
Başak Center,,mall,,28.80488926964865,41.098099029056925,0,1,1,0,0,6,mid
Marmara Forum,,mall,,28.88594813149297,40.99695896964411,1,1,0,0,0,6,mid
Özkuruşlar,,mall,,29.2575982,40.9814112,1,1,0,0,0,6,mid
Bahçeşehir KC E Çarşısı,,mall,,28.683502738691605,41.06362080471588,2,0,1,0,0,6,mid
narcity avm,,mall,,29.16792746678083,40.95484001678484,0,1,1,0,0,6,mid
42 Maslak,,mall,,29.01998146702511,41.112641218831286,3,0,0,0,0,6,mid
Hakim,,mall,,29.272505,40.9503208,1,1,0,0,0,6,mid
Başak Center,,mall,,28.80521932575921,41.09766552188525,0,1,1,0,0,6,mid
Atakent City,,mall,,28.7860373247608,41.05586860354218,1,1,0,0,0,6,mid
Optimum Premium Outlet,,mall,,29.08575955832054,40.98873354039239,1,1,0,0,0,6,mid
2. Matbaacılar Sitesi,,mall,,28.9216,41.0363902,1,1,0,0,0,6,mid
MOPAŞ,,mall,,29.14310423051986,40.94008976126999,1,1,0,0,0,6,mid
MİSSTANBUL AVM,,mall,,28.80567861732434,41.09302954387884,1,1,0,0,0,6,mid
Bizim Toptan Market,,mall,,28.9195331,41.0013557,0,0,1,1,0,5,low
Merter Platform AVM Residance,,mall,,28.894424058981965,41.00829458242772,1,0,0,1,0,5,low
O360 Shopping Store,,mall,,29.31407239729282,40.92610107781124,2,0,0,0,0,4,low
Beylicium AVYM,,mall,,28.649178748404168,41.01155924415501,0,1,0,0,0,4,low
Meydan İstanbul Alışveriş ve Yaşam Merkezi,,mall,,29.1259933,41.023666,0,1,0,0,0,4,low
Piramit Çarşı,,mall,,28.80956805454167,41.10851544414249,0,1,0,0,0,4,low
Airport AVM,,mall,,28.83073304836973,40.99146093458078,1,0,1,0,0,4,low
Vega AVM,,mall,,28.25174576089244,41.0772944555761,2,0,0,0,0,4,low
Buyaka AVM,,mall,,29.12751291724108,41.02640035730519,0,1,0,0,0,4,low
Starcity Outlet Center,,mall,,28.81603162294216,41.01132974322766,0,1,0,0,0,4,low
Vialand Alışveriş Merkezi,,mall,,28.923073816161303,41.07437043543605,0,1,0,0,0,4,low
Maxi AVM,,mall,,28.20383369038063,41.0824871524603,0,1,0,0,0,4,low
White Corner AVM,,mall,,28.644922292242786,40.99993727954098,0,1,0,0,0,4,low
Ayaz AVM,,mall,,29.283905,40.945445,0,1,0,0,0,4,low
Merkez Kayaşehir Alışveriş Merkezi,,mall,,28.75747830547185,41.10799716060996,0,1,0,0,0,4,low
Ihlamur AVM,,mall,,28.79039115,41.040368400000006,0,1,0,0,0,4,low
Zorlu Center,,mall,,29.017172297864683,41.06649569534644,2,0,0,0,0,4,low
Beşyıldız Alışveriş Merkezi,,mall,,29.1762078,41.0289247,0,1,0,0,0,4,low
ArmoniPark Alışveriş Merkezi,,mall,,28.797292470717736,41.006874670149664,0,1,0,0,0,4,low
Akbatı AVYM,,mall,,28.66772910663704,41.056447253290834,0,0,0,1,0,3,low
2. Matbaacılar Sitesi,,mall,,28.9186202,41.0248815,0,0,0,1,0,3,low
Yedikapi endüstriyel ürünler,,mall,,29.3003318,40.9454251,0,0,1,0,0,2,low
Ülker,,mall,,28.9122269,41.0208384,1,0,0,0,0,2,low
Hakmar,,mall,,29.2746438,40.9497888,1,0,0,0,0,2,low
Bahçeşehir KC D Çarşısı,,mall,,28.68261485915017,41.06290730498535,0,0,1,0,0,2,low
Kale Outlet Center AVM,,mall,,28.878147219519903,41.0156840243177,1,0,0,0,0,2,low
Mopaş,,mall,,29.1187113,40.9442662,0,0,1,0,0,2,low
Real Merter AVM,,mall,,28.8799695,41.0214353,1,0,0,0,0,2,low
City Center Outlet AVM,,mall,,28.68726207920586,41.019826376826494,1,0,0,0,0,2,low
İstinye Park,,mall,,29.032460230824096,41.1103025836925,1,0,0,0,0,2,low
Neonya Meydan Alışveriş Merkezi,,mall,,29.2457157,41.0145958,0,0,1,0,0,2,low
Axis İstanbul,,mall,,28.92078170246407,41.03532065526134,1,0,0,0,0,2,low
LOCA İstanbul,,mall,,28.686372236252787,41.07044870764531,1,0,0,0,0,2,low
Parkway,,mall,,28.67954602395105,41.06249975664835,0,0,1,0,0,2,low
Olimpa AVM,,mall,,28.78860015776643,41.109411435862064,0,0,1,0,0,2,low
Çamsan Park AVM,,mall,,29.200627885306584,41.007421696014205,1,0,0,0,0,2,low
Avlu 34 AVM,,mall,,28.735022595638345,41.183256596562856,1,0,0,0,0,2,low
Deposite Outlet AVM,,mall,,28.80914014548334,41.071214553045,1,0,0,0,0,2,low
Konsept Plaza A-Blok,,mall,,28.8870567,41.0115441,0,0,0,0,0,0,low
Spotçular Çarşısı,,mall,,28.619109193892783,41.02635909698666,0,0,0,0,0,0,low
İstanbul Outlet Park,,mall,,28.63186324935412,41.01824249225118,0,0,0,0,0,0,low
Eskule AVM,,mall,,28.680825202847032,41.034436154345606,0,0,0,0,0,0,low
Eskidji Bit Pazarı Haramidere,,mall,,28.67416394071453,41.00969152354413,0,0,0,0,0,0,low
MediaMarkt Beylikdüzü,,mall,,28.670422777022747,41.007395871934186,0,0,0,0,0,0,low
Happy Center,,mall,,28.7466293,41.0635802,0,0,0,0,0,0,low
Neomarin,,mall,,29.2735795,40.8637872,0,0,0,0,0,0,low
Tekstilkent A Kapısı,,mall,,28.8604966,41.0672695,0,0,0,0,0,0,low
Acrloft,,mall,,29.1138195,41.1091663,0,0,0,0,0,0,low
Collesium Mall,,mall,,28.8874106,41.011464,0,0,0,0,0,0,low
Konsept Plaza B-Blok,,mall,,28.8872478,41.0112129,0,0,0,0,0,0,low
Neva AVM,,mall,,28.8724883,41.1062288,0,0,0,0,0,0,low
Saraykur AVM,,mall,,28.8763841,41.0390121,0,0,0,0,0,0,low
Sena Stone,,mall,,29.2600062,40.9727981,0,0,0,0,0,0,low
MetroGarden AVM,,mall,,29.17862336751704,41.0154616391513,0,0,0,0,0,0,low
Vega AVM,,mall,,28.903555973687723,41.09288392164616,0,0,0,0,0,0,low
Güngören Park AVM,,mall,,28.883952374143995,41.03182014830667,0,0,0,0,0,0,low
Kiler,,mall,,28.871868863468432,41.021710248530574,0,0,0,0,0,0,low
Hakmar,,mall,,29.2720019,40.9562832,0,0,0,0,0,0,low
Nevçarşı,,mall,,29.020953459150803,41.020792358887874,0,0,0,0,0,0,low
UNIQ Istanbul,,mall,,29.007804142419303,41.10790268787444,0,0,0,0,0,0,low
Hilltown AVM,,mall,,29.12187989902728,40.95261568948033,0,0,0,0,0,0,low
Home City Mobilya ve Dekorasyon Alışveriş Merkezi,,mall,,29.324782807015985,40.88728491856909,0,0,0,0,0,0,low
MNG Blue Boutique Market,,mall,,28.79161172558792,41.02775441311457,0,0,0,0,0,0,low
TİM-1 İş Merkezi,,mall,,28.91537636339912,41.02236473317224,0,0,0,0,0,0,low
Pendorya AVM,,mall,,29.27513326062761,40.866143471772055,0,0,0,0,0,0,low
Flyinn Alışveriş ve Yaşam Merkezi,,mall,,28.80434217418637,40.97298370925376,0,0,0,0,0,0,low
Pelican Mall,,mall,,28.71498312618002,40.99110122693714,0,0,0,0,0,0,low
Metro Grossmarket Merter,,mall,,28.87947932101037,41.01515134574257,0,0,0,0,0,0,low
Aymerkez,,mall,,28.543606807258787,41.014037805096905,0,0,0,0,0,0,low
Mayadrom,,mall,,29.021967018635628,41.08647748551951,0,0,0,0,0,0,low
Axis AVM,,mall,,28.98210256849052,41.0863607943868,0,0,0,0,0,0,low
Ataköy Galleria Alışveriş Merkezi,,mall,,28.869530554056915,40.97441316623021,0,0,0,0,0,0,low
Astoria,,mall,,29.005869030609738,41.068597128541576,0,0,0,0,0,0,low
Silivri Selimpaşa Gece Pazarı,,mall,,28.3368595,41.060577,0,0,0,0,0,0,low
CarrefourSA Bayrampaşa,,mall,,28.89051504278918,41.04211956997029,0,0,0,0,0,0,low
Rings AVM,,mall,,29.240525236839,40.973535578161325,0,0,0,0,0,0,low
