name,amenity,leisure,longitude,latitude
Kirazlı Mescit,place_of_worship,,28.96107137452704,41.01422572559815
Vefa Kilise Camii,place_of_worship,,28.96031464704234,41.01627984983318
Gazi Atik Ali Paşa Camii,place_of_worship,,28.970564662587975,41.008727103679334
Katip Şemsettin Cami,place_of_worship,,28.962830376553537,41.017845020237246
,place_of_worship,,28.976731199999996,41.00418749999999
Aynül Hayat Hatun Mescidi,place_of_worship,,28.968049946032057,41.004188483744706
Behram Çavuş Cami,place_of_worship,,28.96685681622845,41.00429445342627
İshak Paşa Cami,place_of_worship,,28.981625100577837,41.00637043332773
Akbıyık Cami,place_of_worship,,28.979410931903345,41.00325271827476
Samanveren Camii,place_of_worship,,28.96655186754465,41.01589220267527
Timurtaş Camii,place_of_worship,,28.967539473124244,41.017736784357425
Saraç Doğan Camii,place_of_worship,,28.934531187081703,41.014302587979216
,place_of_worship,,28.72779504524018,41.18567916773558
Kamer Hatun Camii,place_of_worship,,28.9749779,41.035044899999995
Firuz Ağa Camii,place_of_worship,,28.97613318353737,41.00782584699072
Hamidiye Camii,place_of_worship,,29.130765048962772,40.87131101705843
Peksimetçi Salih Ağa Cami,place_of_worship,,29.074747499999994,41.079088049999996
Fethiye Camii,place_of_worship,,28.946387909178515,41.02907968949004
Zeyrek Molla Camii,place_of_worship,,28.95725002245313,41.01971233922325
,place_of_worship,,28.054165962928572,41.237994072145085
70 Evler Karacabey Cami,place_of_worship,,29.143415102864775,40.92857958405834
Ağa Camii,place_of_worship,,28.98062885181382,41.03510786655768
Kirazlıtepe Büyük Cami,place_of_worship,,29.06093008265197,41.03745665705406
Kemankeş Karamustafa Paşa Camii,place_of_worship,,28.976712228077247,41.02272815288086
Faik Paşa Camisi,place_of_worship,,29.043957547193838,41.00601716777722
Makbul İbrahim Paşa Camii,place_of_worship,,28.971567502116145,41.022261953868835
Müeyyetzade Camii,place_of_worship,,28.97485770846448,41.026389055409005
Kılıç Ali Paşa Camii,place_of_worship,,28.98094707710046,41.02641617261089
Hacı Nuri Topbaş Camii,place_of_worship,,29.081333500000003,41.0170919
Akabe Camii,place_of_worship,,29.0524543,41.03029275
Nalbant Cami,place_of_worship,,29.308217287223393,40.82889852815141
,place_of_worship,,29.086749765523464,41.14529097322229
Mahmut Paşa Camii,place_of_worship,,28.971382539321116,41.011185593625086
Rüstem Paşa Camii,place_of_worship,,28.968738202079464,41.01766161588441
Arap Camii,place_of_worship,,28.971066650645064,41.0243433296633
Yaşar Acar Camii,place_of_worship,,28.82047865,41.04105259999999
Yavuz Selim Camii,place_of_worship,,28.782450184952676,40.99200725562257
Bağlariçi Camii,place_of_worship,,29.11006117882726,40.97934319797522
Mescit,place_of_worship,,29.155807372936884,40.968578470458304
Hz. Ebubekir Camii,place_of_worship,,28.631661130814468,41.006046780455875
Altunizade Camii,place_of_worship,,29.04547360532746,41.02056205300952
Kocasinan Cami,place_of_worship,,29.279149055405355,40.88849940927011
Bodrum Camii,place_of_worship,,28.95570325283689,41.00849837777612
Haydarpaşa Protokol Camii,place_of_worship,,29.02322835943003,40.996749132268604
Çobançeşme Camii,place_of_worship,,28.952208606470187,41.082287033913346
Kızılminare Cami,place_of_worship,,28.950607968201894,41.012403458322986
Cihangir Camii,place_of_worship,,28.987147603645386,41.03012094524685
Alvarlızade Camii,place_of_worship,,29.075407544619626,41.0197638183583
Çamlık Camii,place_of_worship,,29.194705299999992,41.013379099999995
Konyalı Hacı Tevfik Ağazade Camii,place_of_worship,,28.999579092032224,41.06812966289397
Osman Sağnak Camii,place_of_worship,,28.997142636156738,41.072675663824874
Hz. Ali Camii,place_of_worship,,28.91255365,41.0994081
Hediye Hanım Camii,place_of_worship,,28.905926552455448,41.10040167138229
Gazi Mahallesi Mevlana Camii,place_of_worship,,28.89864935,41.110361149999996
Kazancı Ali Ağa Camii,place_of_worship,,28.985921200000003,41.03544595
Beyazid-i Cedid Camii,place_of_worship,,28.97941736634999,41.025747913560174
Karabaş Mescidi,place_of_worship,,28.98027690719812,41.02724173391112
Hoca Ahmet Yesevi Camii,place_of_worship,,28.786694859578624,41.10472835937288
,place_of_worship,,28.80326506142479,41.079030682273945
,place_of_worship,,28.809080137265134,41.078053808581025
,place_of_worship,,28.839573013956443,41.06032857373587
Fatma Hatun Camii,place_of_worship,,28.99201329389507,41.03633916188654
Yeraltı Camii,place_of_worship,,28.9766414413663,41.02235608456272
Osmanbey Merkez Cami,place_of_worship,,28.98850899753474,41.05675845194856
Eyyuhumahmet Cami,place_of_worship,,28.972562716865152,41.0382028027757
Cumhuriyet Mahallesi Merkez Camii,place_of_worship,,28.85819729488698,41.01681336780708
Çorlulu Ali Paşa Camii,place_of_worship,,28.959991100000003,41.034173849999995
Bilal Habeşi Cami,place_of_worship,,28.817080108431174,41.0343458151696
Gaziosmanpaşa Merkez Camii,place_of_worship,,28.913248850000006,41.057728450000006
Ulu Camii,place_of_worship,,28.903293,41.1023642
Valide Suyu Camii,place_of_worship,,28.9061933,41.075086150000004
Fatih Camii,place_of_worship,,29.074301743283435,41.016490269171896
Büyük Çamlıca Şehit Onur Ayanoğlu Camii,place_of_worship,,29.062309878487916,41.02736790827455
Canfeda Hatun Camii,place_of_worship,,28.94118548544498,41.02640498892834
Şifa Camii,place_of_worship,,29.032175507545062,40.98385080255452
Galip Paşa Cami,place_of_worship,,29.069534591814048,40.96593866764988
Fenerbahçe Camii,place_of_worship,,29.040384850939354,40.97251648307721
Zühtüpaşa Camii,place_of_worship,,29.040039951510515,40.984140366295705
Heybeliada Camii,place_of_worship,,29.095285004833336,40.87852193233311
Mustafa Nazmi Ersin Camii,place_of_worship,,29.08572474611053,40.97275917417667
Saray Camii,place_of_worship,,29.056910060630628,41.0362439262265
Cafer Ağa Camii,place_of_worship,,29.024701180388416,40.989353393738185
Mehmet Ağa Camii,place_of_worship,,29.06181663901011,41.03283956332803
Ihsaniye Camii,place_of_worship,,29.044519131671628,40.992132247454556
Moda Camii,place_of_worship,,29.02562763268882,40.98262864534093
Söğütlüçeşme Camii,place_of_worship,,29.033287653759448,40.99228000073484
Tüccar Başı Böcekli Cami,place_of_worship,,29.084438440295443,40.97846556228653
Büyük Selimiye Camii,place_of_worship,,29.0163641238811,41.00963670439376
,place_of_worship,,29.0525225482877,41.03577016746817
Salacak Fatih Camii,place_of_worship,,29.00795896073586,41.020976056441945
Şemsi Paşa Camii,place_of_worship,,29.01136417532832,41.0259482945358
Bulgurlu Mescit Camii,place_of_worship,,29.017828649444883,41.021765617014346
Küçük Ihsaniye Camii,place_of_worship,,29.011950226780378,41.01518771294367
Şehit Süleyman Paşa Camii,place_of_worship,,29.014217950000006,41.0197414
Karacaahmet (Fehti Ahmet Paşa) Camii,place_of_worship,,29.019869257319257,41.0130253554134
Bağlarbaşı Camii,place_of_worship,,29.034161444387678,41.023071869395416
Bağlarbaşı Huzur Camii,place_of_worship,,29.02569826984988,41.02125123983062
Çinili Cami,place_of_worship,,29.029215908703428,41.01994091866324
Divitciler Camii,place_of_worship,,29.024418708089446,41.01683354939621
Yarhisar Camii,place_of_worship,,28.95251550533761,41.022361066001196
Hızır Çavuş Cami,place_of_worship,,28.946311911016963,41.031859885165574
Cennet Cami,place_of_worship,,29.054537195717234,41.04165466859558
Siyavuş Paşa Medresesi,place_of_worship,,28.96607615622143,41.01724335451131
Mihrimah Sultan Camii,place_of_worship,,29.07418303275552,40.96349641349509
Hz. Ömer Camii,place_of_worship,,28.85751135,41.066156199999995
Cami,place_of_worship,,29.054234031658943,41.19793269580942
İçerenköy Birlik Camii,place_of_worship,,29.1162747560179,40.96827858922406
İlyas Çelebi Camii,place_of_worship,,28.98470387035753,41.02937954063782
Firuzağa Camisi,place_of_worship,,28.98230994060742,41.03123134192791
Sirkeci Mustafa Ağa Camii,place_of_worship,,28.984033605158256,41.03302075415409
Ali Aga Camii,place_of_worship,,28.98011344186271,41.02997380609027
Cami,place_of_worship,,28.956323031806726,41.081799294531805
,place_of_worship,,28.996980166854307,41.11477160641309
,place_of_worship,,29.001805432725277,41.11855189083907
,place_of_worship,,29.000853900000006,41.121476799999996
,place_of_worship,,28.981069696421585,41.03197485683936
,place_of_worship,,28.7703439,40.9847123
