name,leisure,longitude,latitude
Beyoğlu Hacıahmet Parkı,park,28.972778957132288,41.043261075872934
Moda Sahil Parkı,park,29.029893266177588,40.98076167128004
Yoğurtçu Parkı,park,29.03368708791401,40.985348484972015
Saray Meydanı,park,28.928904286076932,41.01489870215325
,park,28.98587581615991,41.07203711571131
,park,28.857399318430073,41.06846119231938
Bahçeşehir Doğa Parkı,park,28.692616413729098,41.06862712449762
Bayrampaşa Şehir Parkı,park,28.887327722317362,41.061785353225595
,park,28.95420411444935,41.04835678260885
,park,28.963450455427836,41.05087253146852
Şehit Şeyhmuz Demir Parkı,park,28.949762801560748,41.04064728716303
Çıksalın Parkı,park,28.95174887378229,41.04876910608047
,park,28.964000308036052,41.03657823333333
Mahmut Şevket Paşa Parkı,park,28.961062064444064,41.0543540988113
,park,28.96348249304095,41.04907645045967
,park,28.956093808086955,41.038867113722794
,park,28.964292038876653,41.01191032888199
,park,28.963508442910054,41.01405661732724
,park,28.96341083936739,41.0143688224439
,park,28.963561045980825,41.013732830529946
,park,28.963794593412587,41.014076584605405
,park,28.963862491938425,41.01376718685785
,park,28.9637633,41.0144185
,park,28.964816464237078,41.01356404259592
,park,28.962902943019444,41.013333279446634
Sarsılmaz Parkı,park,28.966971773319766,41.01407216392317
Sobacılar Önü Parkı,park,28.967618502964626,41.01820584135945
,park,29.04270743880442,41.07064876615332
Dolapdere Bahçe,park,28.973488252444884,41.03983395888006
Nakkaştepe Millet Bahçesi,park,29.037518259357768,41.03607693430084
Çamlık Parkı,park,29.051364943446444,40.973664124837235
Orkide Parkı,park,29.027820243905065,41.02589288106591
Fidan Parkı,park,29.025877035558747,41.08144336999911
,park,29.02630435782118,41.080560985828605
,park,28.871099195238866,40.972233434726654
,park,28.86971462636119,40.97294145152397
,park,28.872896585554987,40.972583525055235
,park,28.87184319856555,40.97406211434462
,park,28.872205900641703,40.9729734260057
Boğaziçi Üniversitesi,park,29.052370290859407,41.084936630760076
Beşçeşmeler Parkı,park,29.129159932006647,40.92149108027941
Şenol Güneş Parkı,park,29.05979712191861,41.03800392955811
Cüneyt Arkın Sanatçılar Parkı,park,29.029801408130584,41.082788790112716
Dostluk Parkı,park,29.08066312351707,41.016385779262016
,park,29.083917297637203,41.01639177365536
Altınköy Parkı,park,29.08401223489852,41.015794657922626
Şehit Mehmet Hüseyin Balta Parkı,park,28.936294019891207,41.02982672323531
Edirnekapı Sur Dipleri,park,28.93463884724794,41.02982481633204
,park,28.9877237557823,41.041774563592284
Maçka Sanat Parkı,park,28.99023157696702,41.04934307406585
Habitat Parkı,park,28.99107576765349,41.04816754505325
Abide-i Hürriyet ve Şehitlik Parkı,park,28.982355644187656,41.06823810412939
Duatepe Parkı,park,29.05090141761008,41.08736288222792
Küçükçekmece Menekşe Parkı,park,28.761128342356987,40.982133688841074
