name,amenity,shop,leisure,longitude,latitude
Park Teras Alışveriş Merkezi,,mall,,28.63774736047668,41.003123541398814
Ekinoks Beylikdüzü,,mall,,28.644336059676004,41.012583336401676
MetroCorner AVM,,mall,,29.162756956085342,41.016135050541536
Nar Point AVM,,mall,,29.135856,40.99121385
Vega AVM,,mall,,28.251745760892437,41.0772944555761
,,mall,,29.039575345426865,41.020930506049766
Brandium AVM,,mall,,29.132409403098137,40.98240780459611
,,mall,,28.90207516312906,41.08741780924256
,,mall,,28.90350950386074,41.08863562541329
Metronom Avm,,mall,,28.80346095,41.10418885
Başak Center,,mall,,28.804889269648655,41.098099029056925
Başak Center,,mall,,28.805219325759218,41.097665521885254
İstanbul Çarşı,,mall,,28.81018724033133,41.10066872857618
Vega AVM,,mall,,28.903555973687723,41.092883921646155
Capacity Alışveriş ve Yaşam Merkezi,,mall,,28.87129706936316,40.97753003309397
Maxi AVM,,mall,,28.20383369038063,41.0824871524603
42 Maslak,,mall,,29.01998146702511,41.112641218831286
Güngören Park AVM,,mall,,28.883952374143995,41.03182014830667
White Corner AVM,,mall,,28.644922292242786,40.99993727954098
Atlaspark,,mall,,29.255407107365148,40.96964060555926
Kiler,,mall,,28.871868863468432,41.021710248530574
Kale Outlet Center AVM,,mall,,28.878147219519903,41.0156840243177
MetroGarden AVM,,mall,,29.178623367517034,41.0154616391513
O360 Shopping Store,,mall,,29.31407239729282,40.92610107781124
Tınaztepe Çarşı Pasajı,,mall,,28.87355945661005,40.979482535599274
Narmanlı Han,,mall,,28.974727309558077,41.02925486202577
Oasis Cadde,,mall,,28.81128326769513,41.04033333230288
Atirus,,mall,,28.58376652395762,41.02119677514792
,,mall,,28.8473651792513,40.99244833225535
Ömür Plaza,,mall,,28.873438845569712,40.9987555137831
Marmara Forum,,mall,,28.88594813149297,40.99695896964411
,,mall,,28.600069046599458,41.088516503675734
First Avenue,,mall,,28.626692395263238,41.02019889818083
Mella Güzellik,,mall,,28.627457065769477,41.01980495366076
Nevçarşı,,mall,,29.020953459150803,41.020792358887874
,,mall,,28.973402032793157,41.022053134790305
,,mall,,28.973397050000003,41.022038
MiniMall AVM,,mall,,29.329364472947642,41.08421732973367
,,mall,,28.608350789197555,41.181764367487766
Piramit Çarşı,,mall,,28.80956805454167,41.10851544414249
,,mall,,29.243123579822743,41.20368344691063
,,mall,,29.15909321851806,40.94431990831856
,,mall,,28.8887821,41.0113437
Neomarin,,mall,,29.2735795,40.8637872
Tekstilkent A Kapısı,,mall,,28.8604966,41.0672695
Ors Turistik is merkezi,,mall,,28.9781982,41.0337869
Atlas Pasajı,,mall,,28.9792135,41.0341134
Terkos Pasajı,,mall,,28.9755901,41.031056
Canpark Alışveriş Merkezi,,mall,,29.1063989,41.0247304
Acrloft,,mall,,29.1138195,41.1091663
Happy Center,,mall,,28.7466293,41.0635802
Cadde AVM,,mall,,29.1308692,41.0154863
Gamze Outlet,,mall,,29.1305796,41.015749
Mopaş,,mall,,29.1187113,40.9442662
İstanbul A.V.M.,,mall,,29.1322721,40.9240097
İstanbul AVM,,mall,,29.1324173,40.9239293
A.V.M. 34,,mall,,29.1327767,40.9237154
Sancak Park AVM,,mall,,29.2107767,41.0102509
Ender,,mall,,28.9500082,41.0093125
Hayyam Çarşısı,,mall,,28.9762417,41.0142881
ALIŞVERİŞ ELKTRONİK,,mall,,28.974956,41.0133301
Bolis Pirlanta,,mall,,28.9738089,41.009067
imç çarşısı 3.blok,,mall,,28.9580718,41.018166
Kalvi Center,,mall,,28.9560381,41.007992
evim avm,,mall,,28.9384282,41.0073322
Fatih Ucuzluk Pazarı,,mall,,28.9448993,41.0288543
İstanbul Sanatları Çarşısı,,mall,,28.9788085,41.0063554
Babaman Center,,mall,,28.9564944,41.0089911
Aksa İş Merkez,,mall,,28.9540425,41.0081869
İstanbul Bazaar,,mall,,28.9538519,41.0089024
Hakan Bazaar,,mall,,28.9558264,41.00719
Çin pazarı,,mall,,28.9433505,41.0171464
TAKIDASANAT ATÖLYE,,mall,,28.9718013,41.0092695
mytopuk,,mall,,28.9665015,41.0079709
Sözen Center,,mall,,28.9659945,41.0079475
Kent Center,,mall,,28.9667084,41.0071959
Kapalıçarşı Mercan Kapısı,,mall,,28.9690068,41.0118115
Confident,,mall,,28.861258,41.1054442
Showland,,mall,,28.8608588,41.1061834
Göknur Alışveriş,,mall,,29.2689354,40.9716864
Hakmar,,mall,,29.2662451,40.9764436
Hakim,,mall,,29.272505,40.9503208
Kırtasiye Tühafiye,,mall,,29.278122,40.94942
Hakmar,,mall,,29.2693007,40.9708833
Çocuk Dünyası,,mall,,29.274766,40.9669492
Sezer AVM,,mall,,29.2738255,40.9718445
Hakmar,,mall,,29.2718621,40.9681239
