name,leisure,longitude,latitude
MALTEPE FITNES CANTER (MFC),sports_centre,29.12778178669364,40.93849728628351
First Fitness,sports_centre,29.088868800000004,41.09412424999999
Küçükköy Yüzme Havuzu ve Fitness Merkezi,sports_centre,28.90031309299795,41.076070339132805
Avantgarde Fitness & Spa,sports_centre,29.0149621,41.0708468
Fit In Time,sports_centre,29.0399621,41.1875783
Gaia Spa & Fitness Center,sports_centre,28.9882405,41.0404517
Gold‘s Gym,sports_centre,29.0116088,41.0757742
Plus Pilates,sports_centre,29.1215016,40.9832866
Hayat Pilateste,sports_centre,28.9700185,41.0583743
