name,leisure,longitude,latitude
Semahat Arsel Spor Salonu,sports_centre,29.07250766736433,41.20741470681741
Veliefendi Hipodromu,sports_centre,28.889015514111083,40.9867334608978
Okçular Vakfı,sports_centre,28.95987137468444,41.04185608318973
İTÜ Olimpik Yüzme Havuzu,sports_centre,29.02657119113117,41.10122062291669
Merkez Spor Salonu,sports_centre,29.021373923362525,41.102996482037135
Hidayet Türkoğlu Spor Kompleksi,sports_centre,28.88451143235644,41.065234767104144
Fenerbahçe Spor Kulübü Dereağzı Tesisleri,sports_centre,29.03552078933169,40.98333519284316
Yeşilyurt Spor Kulübü,sports_centre,28.8421929586888,40.96256183163373
Çekmeköy Spor Kompleksi,sports_centre,29.18534456352795,41.023487236284765
Hakan Şükür Stadyumu,sports_centre,28.66686936368117,41.02316462018312
Regnum Astrum Towers Sosyal Tesis,sports_centre,28.676472522402296,41.014177976345216
Solarkent Sosyal Tesis,sports_centre,28.67710768680149,41.016147656388
World Point Spor Merkezi,sports_centre,28.62182484291584,41.01199328217713
Athletic Center,sports_centre,29.257883497898167,41.03410016536906
İBB Cebeci Spor Kompleksi,sports_centre,28.87633809011038,41.10732772004536
Heybeliada Su Sporları Kulübü,sports_centre,29.08970162603028,40.88223175045478
Kadıköy Belediyesi Gençlik Merkezi,sports_centre,29.03713355093187,40.98078050911368
Vadi Yurtları Spor Salonu,sports_centre,29.03571777953484,41.10805502166363
Novartis Kurtköy - Spor salonu,sports_centre,29.3217075,40.93771745
İstanbul Büyükşehir Belediyesi Florya Spor Tesisi,sports_centre,28.79103291235176,40.97515792046312
Bahçeşehir Spor Merkezi,sports_centre,28.67725359022933,41.06829024708003
Mustafa Öncel Kültür ve Spor Kompleksi,sports_centre,29.236162116643417,40.96411745005576
Bakırköy Belediyesi Spor Tesisleri,sports_centre,28.88226409377229,40.99829872517409
Sefaköy Kapalı Yüzme Havuzu ve Kütüphanesi,sports_centre,28.79280127198948,40.99770928535479
Sinan Erdem Spor Salonu,sports_centre,28.853999214562783,40.98853096570383
Eski Spor Salonu,sports_centre,29.37411856969588,40.895310739778985
Galatasaray Spor Kulübü  Kürek Şubesi,sports_centre,28.77224364145557,41.00987271914687
Kanarya Stadı,sports_centre,28.77098389906721,41.01095501313893
Libadiye Spor Kulübü - Şaban Çalımlı Tesisi,sports_centre,29.07864117422032,40.99865717372162
Ümraniye Spor Kompleksi,sports_centre,29.110362096014818,41.05863106065453
Halı Saha,sports_centre,28.765767657635323,41.03132830631675
BJK Akatlar Arena,sports_centre,29.02364353716011,41.08697812623014
BJK Çilekli Tesisleri,sports_centre,29.0193119093999,41.08835530989777
Pendik Çamlık Spor Tesisleri,sports_centre,29.2801625990498,40.92862549561315
Spor Merkezi,sports_centre,29.166614963173217,40.95289353258151
Müzahir Sille Spor Kompleksi,sports_centre,29.14021261623025,40.94278340302446
Büyükada Su Sporları Klübü Kapalı Yüzme Havuzu,sports_centre,29.138605450000004,40.870654
Bahçelievler Belediyesi Spor Kompleksi,sports_centre,28.828028657223285,41.01664957939654
İstanbul Park,sports_centre,29.41007353567249,40.956949339668974
Beşiktaş Nevzat Demir Tesisleri,sports_centre,29.138379823131704,41.035046206122665
Club House,sports_centre,28.76602113907568,41.047742132621096
Çekmeköy Belediyesi Spor Tesisleri,sports_centre,29.17570322830682,41.03816885892925
Milli güreş merkezi,sports_centre,29.19019424276085,41.00516067986171
Pendik Spor,sports_centre,29.24620994413304,40.8992023468352
Öncü Halı Saha,sports_centre,29.219091327695068,40.90727183038003
Bağcılar Belediyesi Yüzme Havuzu,sports_centre,28.837815130388574,41.029794403190266
Hasan Doğan Spor Kompleksi,sports_centre,28.84798819074311,41.01891618649686
Türkiye Atletizm Federasyonu,sports_centre,28.85543115,40.98721875
Gölet Spor Tesisleri,sports_centre,29.27481937401678,40.9503266610264
Burhan Felek Yüzme Havuzu,sports_centre,29.02916745047408,41.01524925693527
75. Yıl Yüzme Havuzu,sports_centre,28.902102629564155,41.09550794432436
Pendik Belediyesi Aydos Spor Merkezi,sports_centre,29.27007167868937,40.92151192395794
Halı Saha,sports_centre,29.22441106970474,40.91097435314045
Hamza Yerlikaya Spor Kompleksi,sports_centre,28.87061255636608,41.08682116335879
