latitude,longitude,target_id,name,station_main_count,school_public_count,supermarket_main_count,cafe_main_count,bar_main_count,park_main_count,mall_main_count,score_total,score_breakdown
41.01299544341053,28.95269194125984,cell_003944,cell_003944,6,13,23,89,3,9,2,76.69170256431028,"{""station_main"": 21.616617919084682, ""school_public"": 19.73752542526118, ""supermarket_main"": 14.992977362825208, ""cafe_main"": 9.999999999998694, ""bar_main"": 3.1606027941427883, ""park_main"": 4.75106465816068, ""mall_main"": 2.4329144048370397}"
41.003986434401526,28.940734470486557,cell_003782,cell_003782,6,9,26,79,3,9,0,73.52996052015486,"{""station_main"": 21.616617919084682, ""school_public"": 19.00425863264272, ""supermarket_main"": 14.997416516160587, ""cafe_main"": 9.999999999963391, ""bar_main"": 3.1606027941427883, ""park_main"": 4.75106465816068, ""mall_main"": 0.0}"
41.003986434401526,28.95269194125984,cell_003783,cell_003783,6,6,8,36,3,6,1,71.76886886897765,"{""station_main"": 21.616617919084682, ""school_public"": 17.293294335267746, ""supermarket_main"": 13.957748231657977, ""cafe_main"": 9.999938557876467, ""bar_main"": 3.1606027941427883, ""park_main"": 4.323323583816936, ""mall_main"": 1.4173434471310538}"
40.9589413893565,29.096181590539228,cell_002990,cell_002990,4,9,30,19,2,6,0,69.15212613399976,"{""station_main"": 18.41007154710683, ""school_public"": 19.00425863264272, ""supermarket_main"": 14.999319001053564, ""cafe_main"": 9.982238964542656, ""bar_main"": 2.4329144048370397, ""park_main"": 4.323323583816936, ""mall_main"": 0.0}"
40.9679503983655,29.096181590539228,cell_003151,cell_003151,4,7,33,26,2,9,0,68.65263840474499,"{""station_main"": 18.41007154710683, ""school_public"": 18.0605606427119, ""supermarket_main"": 14.999749474488148, ""cafe_main"": 9.998277677440392, ""bar_main"": 2.4329144048370397, ""park_main"": 4.75106465816068, ""mall_main"": 0.0}"
41.03101346142854,28.976606882806404,cell_004268,cell_004268,3,7,28,108,32,9,0,68.61319632125091,"{""station_main"": 15.803013970713941, ""school_public"": 18.0605606427119, ""supermarket_main"": 14.998673595170104, ""cafe_main"": 9.999999999999998, ""bar_main"": 4.999883454494285, ""park_main"": 4.75106465816068, ""mall_main"": 0.0}"
41.01299544341053,28.976606882806404,cell_003946,cell_003946,3,9,8,70,3,13,1,68.27734843186849,"{""station_main"": 15.803013970713941, ""school_public"": 19.00425863264272, ""supermarket_main"": 13.957748231657977, ""cafe_main"": 9.999999999264704, ""bar_main"": 3.1606027941427883, ""park_main"": 4.934381356315295, ""mall_main"": 1.4173434471310538}"
41.003986434401526,28.868989645846863,cell_003776,cell_003776,4,12,8,8,0,11,1,67.59620826986063,"{""station_main"": 18.41007154710683, ""school_public"": 19.633687222225316, ""supermarket_main"": 13.957748231657977, ""cafe_main"": 9.305165487771985, ""bar_main"": 0.0, ""park_main"": 4.872192333967463, ""mall_main"": 1.4173434471310538}"
40.97695940737451,28.868989645846863,cell_003293,cell_003293,3,12,11,8,0,7,4,67.55559815271296,"{""station_main"": 15.803013970713941, ""school_public"": 19.633687222225316, ""supermarket_main"": 14.616577001902389, ""cafe_main"": 9.305165487771985, ""bar_main"": 0.0, ""park_main"": 4.515140160677975, ""mall_main"": 3.6820143094213664}"
40.99497742539252,28.868989645846863,cell_003615,cell_003615,3,9,14,8,1,10,1,66.62770158038208,"{""station_main"": 15.803013970713941, ""school_public"": 19.00425863264272, ""supermarket_main"": 14.858946561727572, ""cafe_main"": 9.305165487771985, ""bar_main"": 1.4173434471310538, ""park_main"": 4.821630033263738, ""mall_main"": 1.4173434471310538}"
