latitude,longitude,target_id,name,cafe_main_count,hospital_main_count,station_main_count,supermarket_main_count,score_total,score_breakdown
40.997887502702625,28.871043530740593,cell_003014,cell_003014,7,7,4,11,62.49784556216926,"{""cafe_main"": 9.03028032135595, ""hospital_main"": 18.0605606427119, ""station_main"": 11.0460429282641, ""supermarket_main"": 24.360961669837312}"
41.060950565765665,29.002578624547308,cell_003963,cell_003963,11,4,5,19,61.59490527441361,"{""cafe_main"": 9.744384667934925, ""hospital_main"": 14.728057237685466, ""station_main"": 12.166865957436574, ""supermarket_main"": 24.955597411356642}"
41.015905520720636,28.942789945544256,cell_003288,cell_003288,93,9,2,43,61.30298695174442,"{""cafe_main"": 9.999999999999655, ""hospital_main"": 19.00425863264272, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.999985104590927}"
40.98887849369362,28.871043530740593,cell_002880,cell_002880,5,6,4,12,60.99269026293787,"{""cafe_main"": 8.111243971624383, ""hospital_main"": 17.293294335267746, ""station_main"": 11.0460429282641, ""supermarket_main"": 24.542109027781645}"
40.997887502702625,29.02649409614853,cell_003027,cell_003027,53,8,2,21,60.886276928364744,"{""cafe_main"": 9.99999978744851, ""hospital_main"": 18.61033097554397, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.97720295086114}"
41.060950565765665,28.990620888746697,cell_003962,cell_003962,18,5,3,18,60.61753999949381,"{""cafe_main"": 9.975212478233336, ""hospital_main"": 16.222487943248765, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.938031195583342}"
41.00689651171163,28.942789945544256,cell_003154,cell_003154,89,3,6,31,60.61156866624134,"{""cafe_main"": 9.999999999998694, ""hospital_main"": 12.642411176571153, ""station_main"": 12.96997075145081, ""supermarket_main"": 24.999186738220686}"
40.97986948468461,29.09824051095219,cell_002765,cell_002765,21,5,3,15,60.52672883104445,"{""cafe_main"": 9.990881180344456, ""hospital_main"": 16.222487943248765, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.831551325022865}"
41.015905520720636,28.930832209743645,cell_003287,cell_003287,45,7,2,27,60.35621555309764,"{""cafe_main"": 9.999996940976795, ""hospital_main"": 18.0605606427119, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.996914754897833}"
40.997887502702625,28.918874473943035,cell_003018,cell_003018,11,7,2,15,59.93523985018081,"{""cafe_main"": 9.744384667934925, ""hospital_main"": 18.0605606427119, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.831551325022865}"
40.97086047567561,29.09824051095219,cell_002631,cell_002631,17,4,3,26,59.170966040350166,"{""cafe_main"": 9.965406226635352, ""hospital_main"": 14.728057237685466, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.99569419360098}"
40.997887502702625,29.03845183194914,cell_003028,cell_003028,38,4,3,19,59.165431486032425,"{""cafe_main"": 9.999968454561948, ""hospital_main"": 14.728057237685466, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.955597411356642}"
41.02491452972964,28.978663152946087,cell_003425,cell_003425,92,4,3,15,59.04141694513621,"{""cafe_main"": 9.999999999999519, ""hospital_main"": 14.728057237685466, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.831551325022865}"
40.88077038558555,29.241733340559517,cell_001303,cell_001303,13,4,3,13,58.75053511432089,"{""cafe_main"": 9.86876271263059, ""hospital_main"": 14.728057237685466, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.671906781576475}"
41.00689651171163,28.930832209743645,cell_003153,cell_003153,75,5,2,35,58.52101678414344,"{""cafe_main"": 9.99999999986112, ""hospital_main"": 16.222487943248765, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.999785626522435}"
41.06995957477467,28.990620888746697,cell_004096,cell_004096,8,4,3,19,58.47062851924246,"{""cafe_main"": 9.305165487771985, ""hospital_main"": 14.728057237685466, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.955597411356642}"
41.02491452972964,28.966705417145477,cell_003424,cell_003424,84,3,4,10,57.79660427114703,"{""cafe_main"": 9.999999999993086, ""hospital_main"": 12.642411176571153, ""station_main"": 11.0460429282641, ""supermarket_main"": 24.10815016631869}"
40.97986948468461,29.1101982467528,cell_002766,cell_002766,16,4,2,25,56.972511715347785,"{""cafe_main"": 9.951720500061686, ""hospital_main"": 14.728057237685466, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.993990763089514}"
41.00689651171163,29.03845183194914,cell_003162,cell_003162,15,5,1,20,55.375322969617585,"{""cafe_main"": 9.932620530009146, ""hospital_main"": 16.222487943248765, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.968184154966508}"
41.06995957477467,29.01453636034792,cell_004098,cell_004098,14,2,4,13,55.35557170367378,"{""cafe_main"": 9.905964374485048, ""hospital_main"": 9.731657619348159, ""station_main"": 11.0460429282641, ""supermarket_main"": 24.671906781576475}"
40.97086047567561,29.1101982467528,cell_002632,cell_002632,5,4,2,17,55.051559990409345,"{""cafe_main"": 8.111243971624383, ""hospital_main"": 14.728057237685466, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.91351556658838}"
40.97086047567561,29.08628277515158,cell_002630,cell_002630,40,3,2,43,54.941123299705275,"{""cafe_main"": 9.999983804032077, ""hospital_main"": 12.642411176571153, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.999985104590927}"
40.92581543063058,29.134113718354023,cell_001964,cell_001964,22,3,2,34,54.934321288994695,"{""cafe_main"": 9.993466080201326, ""hospital_main"": 12.642411176571153, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.999700817711098}"
41.015905520720636,28.954747681344866,cell_003289,cell_003289,93,3,2,23,54.92944999579061,"{""cafe_main"": 9.999999999999655, ""hospital_main"": 12.642411176571153, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.988295604708682}"
41.06995957477467,29.002578624547308,cell_004097,cell_004097,7,2,4,22,54.791646069471525,"{""cafe_main"": 9.03028032135595, ""hospital_main"": 9.731657619348159, ""station_main"": 11.0460429282641, ""supermarket_main"": 24.983665200503317}"
41.02491452972964,29.08628277515158,cell_003434,cell_003434,10,3,2,24,54.57602789191219,"{""cafe_main"": 9.643260066527477, ""hospital_main"": 12.642411176571153, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.991613434302437}"
41.02491452972964,29.07432503935097,cell_003433,cell_003433,11,3,2,15,54.51709038404006,"{""cafe_main"": 9.744384667934925, ""hospital_main"": 12.642411176571153, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.831551325022865}"
40.98887849369362,28.906916738142424,cell_002883,cell_002883,8,3,2,29,54.24473586120239,"{""cafe_main"": 9.305165487771985, ""hospital_main"": 12.642411176571153, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.998415982348135}"
41.00689651171163,29.205860133157685,cell_003176,cell_003176,11,3,2,12,54.227648086798844,"{""cafe_main"": 9.744384667934925, ""hospital_main"": 12.642411176571153, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.542109027781645}"
41.05194155675666,28.990620888746697,cell_003828,cell_003828,21,4,1,18,53.90899995500642,"{""cafe_main"": 9.990881180344456, ""hospital_main"": 14.728057237685466, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.938031195583342}"
41.00689651171163,28.871043530740593,cell_003148,cell_003148,5,4,2,9,53.89336771462437,"{""cafe_main"": 8.111243971624383, ""hospital_main"": 14.728057237685466, ""station_main"": 7.298743214511119, ""supermarket_main"": 23.7553232908034}"
41.02491452972964,28.930832209743645,cell_003421,cell_003421,23,4,1,15,53.80695714598497,"{""cafe_main"": 9.995318241883473, ""hospital_main"": 14.728057237685466, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.831551325022865}"
40.88077038558555,29.229775604758906,cell_001302,cell_001302,12,4,1,15,53.628482515214145,"{""cafe_main"": 9.816843611112658, ""hospital_main"": 14.728057237685466, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.831551325022865}"
40.934824439639584,29.134113718354023,cell_002098,cell_002098,9,4,1,23,53.47051250010867,"{""cafe_main"": 9.50212931632136, ""hospital_main"": 14.728057237685466, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.988295604708682}"
40.98887849369362,28.918874473943035,cell_002884,cell_002884,5,4,2,8,53.40095814325093,"{""cafe_main"": 8.111243971624383, ""hospital_main"": 14.728057237685466, ""station_main"": 7.298743214511119, ""supermarket_main"": 23.262913719429964}"
41.00689651171163,28.906916738142424,cell_003151,cell_003151,9,4,1,14,53.247127831612616,"{""cafe_main"": 9.50212931632136, ""hospital_main"": 14.728057237685466, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.764910936212623}"
41.07896858378368,29.01453636034792,cell_004232,cell_004232,13,2,3,10,53.1903788807258,"{""cafe_main"": 9.86876271263059, ""hospital_main"": 9.731657619348159, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.10815016631869}"
40.997887502702625,28.883001266541203,cell_003015,cell_003015,3,3,3,12,52.98753417506674,"{""cafe_main"": 6.321205588285577, ""hospital_main"": 12.642411176571153, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.542109027781645}"
40.94383344864859,29.134113718354023,cell_002232,cell_002232,7,4,1,15,52.841919225457445,"{""cafe_main"": 9.03028032135595, ""hospital_main"": 14.728057237685466, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.831551325022865}"
41.02491452972964,29.03845183194914,cell_003430,cell_003430,6,2,3,20,52.828297324376905,"{""cafe_main"": 8.646647167633873, ""hospital_main"": 9.731657619348159, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.968184154966508}"
40.997887502702625,28.906916738142424,cell_003017,cell_003017,7,8,0,35,52.64039692342236,"{""cafe_main"": 9.03028032135595, ""hospital_main"": 18.61033097554397, ""station_main"": 0.0, ""supermarket_main"": 24.999785626522435}"
41.00689651171163,28.954747681344866,cell_003155,cell_003155,53,1,7,8,52.47770777743661,"{""cafe_main"": 9.99999978744851, ""hospital_main"": 5.669373788524215, ""station_main"": 13.545420482033924, ""supermarket_main"": 23.262913719429964}"
40.997887502702625,28.859085794939983,cell_003013,cell_003013,5,5,1,9,52.34108554706971,"{""cafe_main"": 8.111243971624383, ""hospital_main"": 16.222487943248765, ""station_main"": 4.252030341393161, ""supermarket_main"": 23.7553232908034}"
40.97086047567561,29.265648812160737,cell_002645,cell_002645,16,6,0,15,52.0765661603523,"{""cafe_main"": 9.951720500061686, ""hospital_main"": 17.293294335267746, ""station_main"": 0.0, ""supermarket_main"": 24.831551325022865}"
