name,amenity,shop,longitude,latitude,market_type
A101,,supermarket,28.810417300000005,41.0948757,chain
BİM,,supermarket,28.813791997701497,41.13743231847813,local
BİM,,supermarket,28.36210736690054,41.25399624673403,local
A101,,supermarket,28.761075008445808,41.09658991478003,chain
Macrocenter,,supermarket,29.121857631896752,41.109461430727954,unknown
Şok,,supermarket,29.06865415,41.068750050000006,chain
A101,,supermarket,29.310573402566355,40.8305778952682,chain
Migros,,supermarket,29.1254262,41.0241676,chain
BİM,,supermarket,29.1395419,41.001333,local
BİM,,supermarket,29.1381379,41.0080093,local
CarrefourSA,,supermarket,28.982882,41.0318538,chain
Şok,,supermarket,28.9825851,41.0314703,chain
BİM,,supermarket,29.0349115,41.0109355,local
Şok,,supermarket,29.0368159,41.0126012,chain
Migros,,supermarket,28.8457578,40.9887016,chain
Şok,,supermarket,28.9790914,41.0335927,chain
Şok,,supermarket,29.0269555,40.9848199,chain
BİM,,supermarket,28.8970854,41.0548041,local
BİM,,supermarket,28.9305066,41.0160733,local
Şok,,supermarket,28.9296179,41.0157853,chain
Migros,,supermarket,28.9320184,41.0132193,chain
Migros,,supermarket,28.9892795,41.0617227,chain
Metroport AVM,,supermarket,28.8626087,40.9955472,unknown
Migros,,supermarket,28.8240627,40.9610541,chain
Migros,,supermarket,29.1748935,40.8912155,chain
Migros,,supermarket,29.0399888,41.0210032,chain
File,,supermarket,29.1385616,41.0072748,local
Migros,,supermarket,29.0433961,41.0692748,chain
Şok,,supermarket,29.0438414,41.0687976,chain
Macrocenter,,supermarket,29.0355171,41.0580408,unknown
Carrefour,,supermarket,28.8730996,40.998629,chain
Migros,,supermarket,29.0122185,41.0865954,chain
Migros,,supermarket,29.3263697,40.937368,chain
MMM Migros,,supermarket,29.0729211,40.9999334,chain
BİM,,supermarket,28.9821672,41.0500543,local
CarrefourSA,,supermarket,29.1381249,40.9167457,chain
Maltepe Carrefour,,supermarket,29.1636925,40.9194303,chain
Şok,,supermarket,29.2594361,41.0317684,chain
BİM,,supermarket,29.0603752,41.0380506,local
Migros,,supermarket,28.9845917,41.0313616,chain
Migros,,supermarket,28.8502139,40.9789289,chain
Şok,,supermarket,28.7797371,40.9958087,chain
Şok,,supermarket,29.062466,40.9801867,chain
BİM,,supermarket,28.8010218,41.0101076,local
CarrefourSA,,supermarket,29.0892867,41.0949127,chain
BİM,,supermarket,29.2577171,40.8929704,local
MM Migros Market,,supermarket,29.077057,41.0498017,chain
Carrefoursa Express,,supermarket,28.6255512,41.0085028,chain
Migros,,supermarket,28.6266185,41.0051669,chain
CarrefourSA,,supermarket,29.0171271,41.0731017,chain
Migros,,supermarket,29.0183984,41.0724202,chain
BİM,,supermarket,28.9501782,41.0122736,local
Migros,,supermarket,28.9447629,41.0145742,chain
Migros,,supermarket,29.1122315,40.9447797,chain
Migros,,supermarket,29.085746,40.988651,chain
Migros,,supermarket,29.0245606,40.9904631,chain
A101,,supermarket,29.1870471,41.0210309,chain
Migros,,supermarket,29.1844674,41.0227189,chain
CarrefourSA,,supermarket,29.1877238,41.0248642,chain
Şok,,supermarket,28.6509025,41.0188733,chain
A101,,supermarket,28.6244191,40.9991219,chain
Migros,,supermarket,28.6213272,41.005583,chain
Carrefour,,supermarket,28.6586017,41.0107551,chain
5M MİGROS TORIUM,,supermarket,28.6875718,41.0035322,local
Migros,,supermarket,28.6480387,41.0159314,chain
Migros,,supermarket,28.6544017,41.0117978,chain
BİM,,supermarket,28.9988521,41.0722779,local
Şok,,supermarket,28.9988789,41.0720636,chain
Şok,,supermarket,28.999074,41.0429267,chain
MMM Migros,,supermarket,29.1802128,41.0114204,chain
Şok,,supermarket,28.8701692,40.9950292,chain
Migros,,supermarket,29.0732566,41.2050206,chain
BİM,,supermarket,28.9070028,41.0987593,local
Şok,,supermarket,28.9088488,41.0983678,chain
Şok,,supermarket,29.0313099,40.9873158,chain
MM Migros,,supermarket,29.0353706,40.9874904,chain
Migros,,supermarket,29.0230787,40.9897933,chain
Şok,,supermarket,29.0267043,40.9891937,chain
Şok,,supermarket,29.0258335,40.983703,chain
BİM,,supermarket,29.0321198,40.9904838,local
Migros,,supermarket,29.0660589,40.9784042,chain
Şok,,supermarket,29.06616,40.9698435,chain
Migros,,supermarket,29.0742087,40.9729642,chain
A101,,supermarket,29.0249871,40.9881886,chain
BİM,,supermarket,29.0245422,40.9873576,local
CarrefourSA,,supermarket,29.103901,40.9969631,chain
Şok,,supermarket,29.1310934,41.004316,chain
Migros,,supermarket,29.1267676,41.0264815,chain
Migros,,supermarket,29.1070526,40.9953843,chain
Migros,,supermarket,28.6524369,41.0162608,chain
Şok,,supermarket,28.6516815,41.0196566,chain
Macrocenter,,supermarket,29.0229205,41.2088683,unknown
Şok,,supermarket,29.1672531,40.9016739,chain
Migros,,supermarket,29.1003672,40.9532806,chain
Şok,,supermarket,29.1014256,40.9518949,chain
Migros,,supermarket,29.0371774,41.001037,chain
A101,,supermarket,28.6883388,41.3397472,chain
BİM,,supermarket,29.123422,40.9452951,local
CarrefourSA Süper,,supermarket,28.8589344,40.9988252,chain
Migros,,supermarket,29.014399,41.095039,chain
Migros,,supermarket,28.8663007,41.0009235,chain
BİM,,supermarket,28.8614451,41.0282994,local
Migros,,supermarket,28.9932247,41.0537913,chain
Şok,,supermarket,28.9748175,41.0259319,chain
Şok,,supermarket,29.3794767,40.8919803,chain
CarrefourSA,,supermarket,29.0855773,40.9928885,chain
CarrefourSA,,supermarket,28.7966895,41.006763,chain
BİM,,supermarket,28.465104,41.1402307,local
BİM,,supermarket,28.4598479,41.1443685,local
BİM,,supermarket,28.6309325,41.0084231,local
