name,amenity,shop,longitude,latitude,market_type
Şanlık Süpermarket,,supermarket,29.0551035,40.9736622,local
Derya Market,,supermarket,29.0556473,40.9715165,local
Erbaklar Süpermarket,,supermarket,28.8705697,41.0174555,local
Kılıç Market,,supermarket,28.8717471,41.0163707,local
Dia Market,,supermarket,28.9934244,41.0562302,local
Öz Uğur Hipermarketleri,,supermarket,29.094412,41.0491037,local
Onur Market,,supermarket,28.5370191,41.0082341,chain
Balya Organik Health Food Store,,supermarket,28.9818358,41.0291038,local
Green Store,,supermarket,29.3797277,40.8917659,local
Grosper,,supermarket,29.0809857,41.0902558,local
Papoğlu,,supermarket,29.0866926,41.0941598,local
Kim,,supermarket,28.9423489,41.0109559,local
Hakmar,,supermarket,29.1454908,41.0056099,chain
Çağrı Semt,,supermarket,29.1458093,41.0058083,local
Papoğlu Market,,supermarket,29.1438815,41.0044501,local
Özkuruşlar,,supermarket,29.0684351,41.0762341,local
Onur,,supermarket,28.8224151,40.9590034,local
Kardeşler Market,,supermarket,29.0298452,41.0365122,local
Lider Market,,supermarket,29.0280504,41.0711946,local
Onur,,supermarket,28.8379133,40.9639119,local
Biçen,,supermarket,28.6545908,41.0142497,local
Uyum Market,,supermarket,29.2976404,40.926075,local
fabrika satış mağazası,,supermarket,29.0253714,41.0504422,local
Western Union,,supermarket,29.0254696,41.0503123,local
Lider Süpermarket,,supermarket,28.9300414,41.0786951,local
Grup Gökkuşağı,,supermarket,28.8952628,41.0945124,local
ALBI EXPRESS,,supermarket,29.0432936,41.1057435,local
Happy Center,,supermarket,29.0426441,41.1063127,unknown
Happy Center,,supermarket,29.0468498,41.1041588,unknown
Başarı Gelişim,,supermarket,28.8651619,41.004339,local
Happy Center,,supermarket,28.8878168,41.0366691,unknown
Gri,,supermarket,28.8828499,41.0335703,local
Shopping,,supermarket,28.8947276,41.0340234,unknown
Çağrı Semt,,supermarket,28.8827271,41.0335318,local
Kim,,supermarket,28.8948085,41.0335585,local
Biçen,,supermarket,28.8808869,41.0284597,local
Harman Organik ve Yöresel Ürünler,,supermarket,28.8847042,41.0049723,local
Happy Center,,supermarket,28.7824791,41.0441672,unknown
Karday Süpermarket,,supermarket,28.8693152,41.0168058,local
Türkiye İş Bankası,bank,supermarket,29.6083722,41.1740014,local
Tatbak,,supermarket,29.1908031,41.0213789,local
Uyum Süpermarket,,supermarket,29.1675634,40.9548365,local
İtimat,,supermarket,29.0784127,40.9903985,local
7renk Tekeller,,supermarket,29.1449456,40.973594,local
Derecik market,,supermarket,29.1446289,40.9737099,local
Hakmar,,supermarket,29.1758126,40.9859965,chain
Akmar Hipermarket,,supermarket,29.1821113,41.0306498,local
Erdoğan Market,,supermarket,28.2402913,41.0862419,local
Erçağ,,supermarket,28.2405527,41.0835823,local
Onur Market,,supermarket,28.2497191,41.0794715,chain
Çankaya Tekel,,supermarket,29.0897187,40.9607353,local
