name,leisure,longitude,latitude
Cumhuriyet Parkı,park,29.108779541035208,40.99386204881026
Yunus Emre Sitesi Parkı,park,28.851100179313327,40.98868689923845
Aydın Demir Park,park,29.04235095864149,41.02023570071536
Barış Manço Parkı,park,29.04484120873981,41.01949831740235
Atatürk Parkı,park,28.772120523365704,41.022158145329605
Prof. Dr. Kriton Curi Parkı,park,29.09374120681821,40.97655045665836
Zübeyde Hanım Parkı,park,29.090399872387348,40.97171442624405
Cumhuriyet Parkı,park,28.64396911210661,41.01681407012557
Bahçeşehir Atatürk Parkı,park,28.68532915840549,41.06202380492806
Üçtepe Parkı,park,28.95515827040031,41.07952675079423
Çoban Çeşme Parkı,park,28.951046781506868,41.08111946772144
Çobançeşme Çocuk Köyü,park,28.952972558058452,41.08456204953998
Alibeyköy Merkez Parkı,park,28.948720455920803,41.08016992787657
Arkeoloji Parkı,park,28.953143042137484,41.01438253443382
Şelale Parkı,park,28.681309261047616,41.06993086809162
Binbirdirek Sarnıcı,park,28.97372642008247,41.00749382042252
Mecidiye Parkı,park,29.18971850222404,41.02641307473872
Barış Manço Parkı,park,29.098819716341925,40.9664651773964
Ihlamur Parkı,park,28.64935267229368,41.01726840489635
Şehitler Parkı,park,28.671511436645577,41.01749328006749
Haramidere Yaşam Vadisi,park,28.668090791907503,41.02238201624149
Gaziler Parkı II.Kısım,park,28.665720445627635,41.02593755861914
Beylikdüzü Belediye Çamlığı,park,28.650530125741124,41.01053150096907
Yunus Balta Parkı,park,28.651783978095896,41.01530214351814
Yürüyüş Parkı,park,28.65507961707388,41.01716265937958
Sezen Aksu Parkı,park,28.64287807367665,41.00169823418577
Kuğulu Park,park,28.64310004700049,41.005625444862034
Atrium Parkı,park,28.645366853628367,41.00681890504502
Barış Manço Parkı,park,28.644824736292872,41.01194466210492
Mehmehçik Parkı,park,28.64400955559293,41.00955854785508
Fatih Sultan Mehmet Koruluğu,park,28.64222412062249,41.00926649888715
Mehmet Akif Ersoy Koruluğu,park,28.6453636217543,41.008808900463535
B-10 Parkı,park,28.64701130845582,41.00826453343249
Mehmet Akif Ersoy Koruluğu,park,28.648306660935244,41.008661764468215
Turgut Özal Koruluğu,park,28.65264242354285,41.00779027224219
Enver Adakan Parkı,park,28.6499962786662,41.00246922605109
Barış Parkı,park,28.65279747245091,41.00078096185071
Enver Adakan Parkı,park,28.65479774752552,40.99912376012762
Cumhuriyet Parkı,park,28.64023364408101,41.004272965697766
Bizimkent Atatürk Koruluğu,park,28.639090908688644,41.010794712900434
Şener Şen Parkı,park,28.649447274216037,40.99765382446488
Vali Recep Yazıcıoğlu Koruluğu,park,28.657562164965825,41.00594295594683
Eray Altın Korluğu 2,park,28.65543945527478,41.00678067918857
Eray Altın Korluğu 1,park,28.65441658272184,41.007147208586254
Şirinler Parkı,park,28.653640402245284,41.00604336932353
Mevlana Parkı,park,28.62764256592968,41.00649369365772
Recep Tayyip Erdoğan Parkı,park,28.68885050765417,41.01718465714317
Abdullah Gül Parkı,park,28.6410837021024,41.03672791911864
19 Mayıs Gençlik Parkı,park,28.65949844688677,41.03534833131964
Gürpınar Sahil Parkı (Piri Reis Parkı),park,28.59776991004833,41.00109498082395
Çamlık Parkı,park,28.634919770531127,40.99745011429119
Kemal Sunal Parkı,park,28.625302786248408,40.98959392099823
Kıvırcık Ali Parkı,park,28.629632862566535,40.99025737246343
Atakent Parkı,park,28.62531030425989,40.99034450507418
Sami Aksu Parkı,park,28.619773474429643,40.9922991075794
Şehit Nail Sarıgan Parkı,park,28.619491408287782,40.99316505491685
Atatürk Parkı,park,28.613782866175885,40.99185625806668
Nazım Hikmet Yıldızhan Parkı,park,28.61504897379019,40.990459391439565
Çambaşı Caddesi Üzeri Parkı,park,28.62439450644416,41.00598125408287
Yaşar Acar Parkı,park,28.64887619118528,40.9935166274642
Nigar Şahin Parkı,park,28.650627703085,40.994846763062526
Yakuplu Kent Ormanı,park,28.66885611630949,41.00448697032
Sultan Süleyman Parkı,park,28.672154030998733,41.0015413394236
Karabekir Parkı,park,28.67079718796069,41.00169565501809
Millî Egemenlik Parkı,park,28.673945507617635,41.000251354952105
Dostluk Parkı,park,28.66607548731794,41.00523165293847
şehit binbaşı ümit çelik parkı,park,28.62994630892426,41.000380270515215
75. Yıl Parkı,park,28.68157454672717,41.04221188573833
Paşa Eli Kent Parkı,park,28.73584742100304,40.985810025949
İBB Sosyal Tesisler Bahçesi,park,28.74445931108198,40.97655842171137
Kültür Park,park,28.57476335483751,41.022547386590944
Osmanlı Parkı,park,28.673437239897986,41.03682030478146
Koru Parkı,park,28.668350074148165,41.03960795731291
Bilal Yazkurt Parkı,park,28.66973628859776,41.03236117250288
Gürpınar Atatürk Parkı,park,28.60710156701667,40.996593090475606
Söğütlüçeşme Yaşam Parkı,park,28.786278120509863,41.025936086680666
Halkalı Çamlık Parkı,park,28.78978125199364,41.03377113407996
Halkalı Çamlık Parkı,park,28.7907767588023,41.03130039052185
Bülent Ecevit Parkı,park,29.102141127007968,40.98714599003157
Yenilevent Sporcular Parkı,park,29.015568536027978,41.0875672272991
Spor Parkı,park,28.90767485429295,41.09910988922131
Gazi Parkı,park,28.89937704679908,41.09546887748477
