name,amenity,shop,leisure,longitude,latitude
İspark Çınar Açık Otoparkı,parking,,,29.00871954298652,41.08511064878262
İSPARK,parking,,,29.00767002485445,41.08652922748105
İSPARK,parking,,,29.008345192759645,41.08610396879396
Perpa Ticaret Merkezi Açık Otopark 2,parking,,,28.96918567884913,41.06213383348693
Çağrı Market Müşteri Park Alanı,parking,,,29.13637015917413,41.00310884397302
Cevahir AVM Açık Otopark,parking,,,28.993776594562657,41.06103850295607
İspark - Miniatürk,parking,,,28.94947498811469,41.058415331327375
Parktürk Söğütlüçeşme Kadıköy,parking,,,29.0337630652256,40.99253202292297
İstanbul Büyükşehir Belediyesi personel ve ziyaretçi otoparkı,parking,,,28.95355790955873,41.01389139683579
Otopark,parking,,,29.295930214744423,41.13618165910541
Arnavutköy Belediyei Temizlik İşleri Garajı,parking,,,28.74320021025246,41.17685875241634
Araç Parkı,parking,,,29.13226471119733,40.93856828137884
İETT Sarıgazi Garajı,parking,,,29.20133465207108,41.00399874345096
Karadeniz Otopark,parking,,,28.884486107136592,41.07123874896932
Metro Otopark,parking,,,29.122710229798724,40.94746033318618
HAPPY CENTER Müşteri Otoparkı,parking,,,29.178999331990838,41.03240101008385
köpük oto park,parking,,,29.130201242378543,40.93564493767742
Oto Parl-Yıkama,parking,,,29.121942549180154,40.93725625566294
İspark Pendik Devlet Hastanesi Açık Otoparkı,parking,,,29.22891318996252,40.87747167415908
İspark Suadiye Cep Otoparkı,parking,,,29.07355286697494,40.95848845522169
İSPARK,parking,,,29.266560833270603,40.9664451821796
Moda Park,parking,,,29.02734683006287,40.98771779368408
"Koçoğulları Otopark, Oto Yıkama",parking,,,29.262245741833937,40.96749227845036
İZÜ Otoparkı,parking,,,28.789215856275295,41.0322199914363
İspark,parking,,,28.97719208591768,41.00148535349729
Taşyapı Özgün Katlı Otopark,parking,,,29.00272605153617,41.06368336184211
Çevre Otopark,parking,,,28.93859042404993,41.008523069347206
Sultan Katlı Otopark,parking,,,28.975404145631988,41.00976880200158
İSPARK,parking,,,29.01647116207733,41.10888042531919
Ekinci Otoparkı,parking,,,28.94616368880731,41.00784670036624
Altıntur Otopark,parking,,,28.94476869418495,41.00813764791624
İSPARK,parking,,,28.876296549443115,40.97371001073842
İspark Beykoz Sosyal Tesisleri,parking,,,29.08629790338668,41.11337612745629
İspark,parking,,,29.22857261852384,40.87976899019307
Açık Otopark,parking,,,29.126165725779213,40.99111857671043
İspark Söğütlüçeşme Açık Otoparkı,parking,,,29.038335032339297,40.992066066835214
İspark,parking,,,28.690404534565065,41.06743064809709
Altınbaş Üniversitesi Otoparkı,parking,,,28.820051100414645,41.05638972571867
Tellioğlu Otopark,parking,,,29.087211767437363,41.02619426676379
İSPARK,parking,,,28.92024526664509,41.00443574504693
Car Parking,parking,,,28.915314557098476,41.00284030563241
İslambey Otoparkı,parking,,,28.928122517831184,41.05055574882844
Park216 2.El Oto Satış,parking,,,29.27532605391112,40.99730090699648
ESBAŞ Katlı Otopark,parking,,,28.93454461039021,41.04933899929864
Tır Parkı,parking,,,29.37020066292045,40.87190438567581
Etçii,parking,,,29.32343179221348,40.86194077328052
Öz Emniyet Yediemin Otoparkı,parking,,,29.323786834295483,40.86294924761803
Cars,parking,,,29.290517405109465,41.10190693648605
Tır Parkı,parking,,,29.290362340041508,41.10292330816012
Trucks,parking,,,29.28968044711213,41.10173063515638
Araba Parkı,parking,,,29.29130298590186,41.10250560794519
Bi Mola Ömerli Tesisleri Otoparkı 1,parking,,,29.286714237058984,41.08918147220956
Cars,parking,,,29.286558725860623,41.08984722796101
Bi Mola Ömerli Tesisleri Otoparkı 2,parking,,,29.28724453030444,41.09054125237285
Bi Mola Ömerli Tesisleri Tır Parkı,parking,,,29.28814723895612,41.09120928247538
Trucks,parking,,,29.28742069155708,41.09092324453016
Bi Mola Ömerli Tesisleri Tır Parkı,parking,,,29.28764339322275,41.09157883661135
Misafir Araç Park Alanı,parking,,,28.63525007152955,41.022490453403165
İstanbul JetPark P+R,parking,,,29.31087826162212,40.91677015258284
baranoğlu,parking,,,29.03057615542157,41.0236988797879
Açık Otopark,parking,,,28.6675947718588,41.055403590755695
Zeynep Kamil Oto Pazarı,parking,,,29.02827483936388,41.01315386113404
Açık Otopark,parking,,,28.380141592559543,41.052148928476754
Açık Otopark,parking,,,28.381811849136195,41.05168421453754
Otobüs Park Alanı,parking,,,28.896095821484582,41.02382416916612
Emsey Hospital Hasta Otoparkı,parking,,,29.28810182726777,40.92321907292255
Şeyhli Mahallesi Otoparkı,parking,,,29.286063773135712,40.91374160435342
Ersoy Hastanesi Arkası Otoparkı,parking,,,29.29857465458592,40.91048012263788
Harmandere Açık Otoparkı,parking,,,29.32532996303783,40.93027091708877
Yediemin Otoparkı,parking,,,29.309002170836077,40.94200636174419
Pendik Sahil Meydanı Katlı Otopark,parking,,,29.232617591048257,40.87496531698357
Pentaş Metro Otoparkı,parking,,,29.24741761730325,40.88188724708756
Pentaş Pendik Merkez Sahil Otoparkı,parking,,,29.23623259948322,40.876229657664126
Pentaş Marmara Hastanesi Otoparkı,parking,,,29.26331378576917,40.88775028586993
Mostar Katlı Otoparkı,parking,,,29.2383684036332,40.87952200181226
İspark Pendik Katlı Otoparkı,parking,,,29.23415550799588,40.87892281058993
İSPARK Bülent Ecevit Kültür Merkezi Otoparkı,parking,,,29.197125262675677,40.885190375338986
İSPARK Kartal Sahil Açık Otoparkı,parking,,,29.19025681183357,40.887345936790005
Can Otopark,parking,,,29.23127010345555,40.87728992031573
Pendik Sahil Açık Otoparkı,parking,,,29.23157818486349,40.87234689655807
Yunus Emre Kültür Merkezi Otoparkı,parking,,,29.221171471037863,40.87961507252574
İspark Pendik Sahil Engelliler Merkez Önü Otoparkı,parking,,,29.232968771245275,40.87338210589418
PenCR Müşteri Otoparkı,parking,,,29.22865180603371,40.87159092597238
İlçe Milli Eğitim Otoparkı,parking,,,29.272684793539923,40.86992442810875
Gülistan Sofrası Müşteri Otoparkı,parking,,,29.232072129404383,40.87444976641342
Pendik Sahil İdo Açık Otoparkı,parking,,,29.236875489977447,40.87545308341552
İspark Pendik Marina 2 Otoparkı,parking,,,29.23358956263689,40.87324960486048
İspark Kadıköy Metro 2 Açık Otoparkı,parking,,,29.020948541545877,40.98902261814237
Hal Otoparkı,parking,,,28.60313322940708,40.96704955857496
İspark Minibüs Depolama Alanı,parking,,,29.325365501598355,40.93221105316616
İETT Kurtköy Garajı,parking,,,29.317063805633712,40.92894361586467
İSPARK,parking,,,29.32088642332096,40.929400044796985
Tır Parkı,parking,,,29.17596434029028,40.99523686836381
Efa Tur Garajı,parking,,,29.308167914077,40.92857772103011
Kuşdili Otoparkı,parking,,,29.032641055298114,40.98977481630798
İSPARK,parking,,,29.06989594520961,41.02633623966548
