name,amenity,shop,longitude,latitude,market_type
Migros,,supermarket,28.825782866666664,41.017326466666674,chain
Hakmar,,supermarket,29.33303286659564,40.86349449074402,chain
Grup 7,,supermarket,29.34029466424494,40.86002083221008,local
Migros,,supermarket,29.2340107641188,40.871924839733246,chain
Bizim Toptan Market,,supermarket,29.234537952718693,40.87255378876343,local
Migros,,supermarket,29.098110969072938,40.97382417914942,chain
Özkuruşlar Market,,supermarket,29.224967867572477,40.92088333934431,local
Berka hipermarket,,supermarket,29.257034649999994,41.00535265,local
Happy Center,,supermarket,29.107562407227405,41.02129095955319,unknown
Tespo,,supermarket,28.90509889119994,41.07092893739011,local
Migros,,supermarket,29.295734204715224,40.923780506549626,chain
File,,supermarket,29.03252149476164,41.2179435082927,local
Carrefour,,supermarket,29.03259475646798,41.2173409220379,chain
Namlı Hipermarketleri,,supermarket,29.09190148417369,41.13468177365296,local
File,,supermarket,29.011531204056435,41.02410873006676,local
A101,,supermarket,29.02433649544769,41.10326965466925,chain
Özenler Market,,supermarket,28.97451951544893,41.08710651805763,local
CarrefourSA,,supermarket,29.000262617912277,41.05410365159201,chain
Grosper,,supermarket,29.07990841055897,41.01876748300336,local
Migros,,supermarket,28.798143700000004,41.04357175,chain
Resuloğlu Toptan & Perakende,,supermarket,29.116469537811607,40.98487388804089,local
Onur Market,,supermarket,28.789776576161493,41.05639440949547,chain
Carrefour Market,,supermarket,28.600547833462937,41.08886498487908,chain
Cağrı,,supermarket,29.141130675258044,41.00781949850811,local
Migros,,supermarket,29.139897047061226,40.99951517842375,chain
Mopaş,,supermarket,29.132927251971804,41.00592120058796,local
Kooperatif,,supermarket,28.46198888254804,41.14510889094144,local
Bizim,,supermarket,29.03338689584506,41.00362969189648,local
Happy Center,,supermarket,28.8043517,41.1006434,unknown
Biçen,,supermarket,28.65469587333474,41.01423441261764,local
Happy Center,,supermarket,29.01588185227345,41.026138366464615,unknown
Rami Karabağ,,supermarket,28.91761723262396,41.05183332590213,local
Carrefour,,supermarket,28.909035128748663,41.05842779263703,chain
Özkuruşlar,,supermarket,29.147043117223863,40.98878464454455,local
Anpa Gross,,supermarket,28.774926750285875,41.100457458808535,local
Migros,,supermarket,29.364266705080755,40.93608576468101,chain
Çağrı Hipermarket,,supermarket,28.870673547375763,41.00690550168789,local
Şok,,supermarket,29.09029573947281,40.97028067714654,chain
Şok,,supermarket,28.38117167006139,41.40352349370114,chain
A101,,supermarket,29.11982334339356,40.97073959467313,chain
Migros,,supermarket,29.035888381926583,41.05987714891981,chain
Aktaş Market,,supermarket,29.084695671472023,40.993149103058485,local
CarrefourSA,,supermarket,28.71032129663906,40.9813669807621,chain
CarrefourSA,,supermarket,28.658904219026955,40.97499603825448,chain
Şok,,supermarket,29.23523831597743,40.966606584130936,chain
A101,,supermarket,28.90772734303754,41.06030999144137,chain
A101,,supermarket,28.909513142285757,41.05863158736607,chain
A101,,supermarket,28.810417300000005,41.0948757,chain
Zırhlı Toptan & Perakende Market,,supermarket,28.62061730368064,41.0649323662602,local
Özkuruşlar Market,,supermarket,29.133688261665725,40.93362715227164,local
BİM,,supermarket,28.813791997701497,41.13743231847813,local
Çağrı Market Dudullu,,supermarket,29.16066738707355,41.01657246710663,local
sağlam apartmanı,,supermarket,29.15122578200714,41.009015221264384,local
Erbil Gıda,,supermarket,28.45360439884474,41.149160409278906,local
BİM,,supermarket,28.36210736690054,41.25399624673403,local
Onur,,supermarket,28.62903455,40.9977864,local
A101,,supermarket,28.761075008445808,41.09658991478003,chain
Macrocenter,,supermarket,29.121857631896752,41.109461430727954,unknown
Şok,,supermarket,29.06865415,41.068750050000006,chain
A101,,supermarket,29.310573402566355,40.8305778952682,chain
Grosper,,supermarket,29.0235532,41.0166566,local
PendikPark,,supermarket,29.2328597,40.881316,local
Migros,,supermarket,29.1254262,41.0241676,chain
BİM,,supermarket,29.1395419,41.001333,local
BİM,,supermarket,29.1381379,41.0080093,local
CarrefourSA,,supermarket,28.982882,41.0318538,chain
Orka Süpermarket,,supermarket,28.9819731,41.031731,local
Şok,,supermarket,28.9825851,41.0314703,chain
Özkuruşlar,,supermarket,29.0347398,41.0105955,local
BİM,,supermarket,29.0349115,41.0109355,local
Şok,,supermarket,29.0368159,41.0126012,chain
Migros,,supermarket,28.8457578,40.9887016,chain
Şok,,supermarket,28.9790914,41.0335927,chain
Namlı Market,,supermarket,28.984739,41.0349113,local
Şok,,supermarket,29.0269555,40.9848199,chain
BİM,,supermarket,28.8970854,41.0548041,local
BİM,,supermarket,28.9305066,41.0160733,local
Şok,,supermarket,28.9296179,41.0157853,chain
Migros,,supermarket,28.9320184,41.0132193,chain
Happy Center,,supermarket,28.9316264,41.0120121,unknown
Migros,,supermarket,28.9892795,41.0617227,chain
Namlı,,supermarket,28.989258,41.0620098,local
Metroport AVM,,supermarket,28.8626087,40.9955472,unknown
Kadir Has Çocuk Dünyası,,supermarket,28.8643683,40.9959925,local
Kardeşler Süpermarket,,supermarket,28.8540901,41.0085394,local
Migros,,supermarket,28.8240627,40.9610541,chain
Uyum,,supermarket,28.8163454,40.9590942,local
Migros,,supermarket,29.1748935,40.8912155,chain
Migros,,supermarket,29.0399888,41.0210032,chain
File,,supermarket,29.1385616,41.0072748,local
Migros,,supermarket,29.0433961,41.0692748,chain
Şok,,supermarket,29.0438414,41.0687976,chain
Macrocenter,,supermarket,29.0355171,41.0580408,unknown
Üçler Süpermarket,,supermarket,28.9844788,41.0524222,local
Carrefour,,supermarket,28.8730996,40.998629,chain
