name,amenity,shop,leisure,longitude,latitude,pool_norm,exact_hit,fuzzy_match,fuzzy_score,fuzzy_hit,is_avm
Bahçeşehir KC E Çarşısı,,mall,,28.683502738691605,41.06362080471588,bahcesehir kc e cars s,False,sapphire cars,57.142857142857146,False,False
Bahçeşehir KC G Çarşısı,,mall,,28.68593711220792,41.062785823467685,bahcesehir kc g cars s,False,sapphire cars,51.42857142857143,False,False
MNG Blue Boutique Market,,mall,,28.79161172558792,41.02775441311457,mng blue boutique market,False,olivium outlet,42.10526315789474,False,False
Güneşli Park,,mall,,28.82448897038876,41.03220519040256,gunesli park,False,green park,63.63636363636363,False,False
Çamsan Park AVM,,mall,,29.200627885306584,41.007421696014205,camsan park,False,green park,57.142857142857146,False,False
TİM-1 İş Merkezi,,mall,,28.91537636339912,41.02236473317224,tim 1 is,False,torium,42.857142857142854,False,False
Home City Mobilya ve Dekorasyon Alışveriş Merkezi,,mall,,29.324782807015985,40.88728491856909,home city mobilya ve dekorasyon al sveris,False,kanyon al sveris,72.0,False,False
Vadistanbul Alışveriş Merkezi,,mall,,28.987363648580786,41.107530253487305,vadistanbul al sveris,False,kanyon al sveris,72.0,False,False
Avlu 34 AVM,,mall,,28.735022595638345,41.183256596562856,avlu 34,False,akvaryum,40.0,False,False
Hilltown AVM,,mall,,29.121879899027277,40.95261568948033,hilltown,False,whitehill,47.05882352941177,False,False
Esenkent Sunflower Çarşısı,,mall,,28.674980714832017,41.060011018876565,esenkent sunflower cars s,False,sapphire cars,47.05882352941177,False,False
Biz Cevahir Haliç AVM,,mall,,28.94515371914856,41.07581056688259,biz cevahir halic,False,cevahir al sveris,64.70588235294117,False,False
Esenler Modern ve Kapalı Pazar Yeri,,mall,,28.886668365758005,41.03698103169082,esenler modern ve kapal pazar yeri,False,akbat al sveris ve yasam,44.827586206896555,False,False
Hak İş Hanı ve Pasajı,,mall,,29.028979628978533,40.98869039337188,hak is han ve pasaj,False,akbat al sveris ve yasam,65.11627906976744,False,False
Opera Onur Çarşısı,,mall,,29.029188279208743,40.98879796031837,opera onur cars s,False,carrefoursa,50.0,False,False
Merter Platform AVM Residance,,mall,,28.894424058981965,41.00829458242772,merter platform residance,False,m1 meydan merter,63.41463414634146,False,False
Axis AVM,,mall,,28.98210256849052,41.0863607943868,axis,False,maxi,75.0,False,False
Andromeda AVM,,mall,,29.10621230276001,40.99135317784175,andromeda,False,carousel,47.05882352941177,False,False
Terasium AVM,,mall,,28.80289085,41.108636450000006,terasium,False,torium,71.42857142857143,False,False
Parkway,,mall,,28.67954602395105,41.06249975664835,parkway,False,markacity,62.5,False,False
Esenkent Moon Flower,,mall,,28.67621068654422,41.061060434410734,esenkent moon flower,False,212 istanbul power outlet,40.0,False,False
Eyüp Park Residence AVM,,mall,,28.927306044307528,41.080261294435225,eyup park residence,False,green park,62.06896551724138,False,False
Park Teras Alışveriş Merkezi,,mall,,28.63774736047668,41.003123541398814,park teras al sveris,False,akbat al sveris ve yasam,72.72727272727272,False,False
MetroCorner AVM,,mall,,29.162756956085342,41.016135050541536,metrocorner,False,metroport,70.0,False,False
Nar Point AVM,,mall,,29.135856,40.99121385,nar point,False,airport,62.5,False,False
Vega AVM,,mall,,28.25174576089244,41.0772944555761,vega,False,pelican,36.36363636363637,False,False
Brandium AVM,,mall,,29.132409403098137,40.98240780459611,brandium,False,torium,57.142857142857146,False,False
Metronom Avm,,mall,,28.80346095,41.10418885,metronom,False,metro,76.92307692307692,False,False
Başak Center,,mall,,28.80488926964865,41.098099029056925,basak,False,arissa,54.54545454545455,False,False
Başak Center,,mall,,28.805219325759214,41.09766552188525,basak,False,arissa,54.54545454545455,False,False
Vega AVM,,mall,,28.903555973687723,41.09288392164616,vega,False,pelican,36.36363636363637,False,False
42 Maslak,,mall,,29.01998146702511,41.112641218831286,42 maslak,False,arissa,40.0,False,False
Güngören Park AVM,,mall,,28.883952374143995,41.03182014830667,gungoren park,False,green park,78.26086956521739,False,False
White Corner AVM,,mall,,28.644922292242786,40.99993727954098,white corner,False,sapphire cars,48.0,False,False
Atlaspark,,mall,,29.255407107365148,40.96964060555926,atlaspark,False,autopia,50.0,False,False
Kiler,,mall,,28.871868863468432,41.021710248530574,kiler,False,galleria,46.15384615384615,False,False
Kale Outlet Center AVM,,mall,,28.878147219519903,41.0156840243177,kale outlet,False,olivium outlet,70.58823529411765,False,False
MetroGarden AVM,,mall,,29.178623367517037,41.0154616391513,metrogarden,False,metro,62.5,False,False
O360 Shopping Store,,mall,,29.31407239729282,40.92610107781124,o360 store,False,astoria,47.05882352941177,False,False
Tınaztepe Çarşı Pasajı,,mall,,28.87355945661005,40.97948253559928,t naztepe cars pasaj,False,sapphire cars,48.484848484848484,False,False
Narmanlı Han,,mall,,28.97472730955808,41.02925486202577,narmanl han,False,kadir has,50.0,False,False
Oasis Cadde,,mall,,28.81128326769513,41.04033333230288,oasis cadde,False,addres istanbul ev dekorasyon,50.0,False,False
Ömür Plaza,,mall,,28.873438845569712,40.9987555137831,omur plaza,False,mesa studio plaza,66.66666666666666,False,False
First Avenue,,mall,,28.62669239526324,41.02019889818083,first avenue,False,veneris,63.1578947368421,False,False
Mella Güzellik,,mall,,28.62745706576948,41.01980495366076,mella guzellik,False,galleria,45.45454545454545,False,False
Nevçarşı,,mall,,29.020953459150803,41.020792358887874,nevcars,False,veneris,57.142857142857146,False,False
MiniMall AVM,,mall,,29.32936447294764,41.08421732973367,minimall,False,kemermall,58.8235294117647,False,False
Piramit Çarşı,,mall,,28.80956805454167,41.10851544414249,piramit cars,False,sapphire cars,64.0,False,False
Neomarin,,mall,,29.2735795,40.8637872,neomarin,False,veneris,53.333333333333336,False,False
Tekstilkent A Kapısı,,mall,,28.8604966,41.0672695,tekstilkent a kap s,False,deposite outlet,47.05882352941177,False,False
Ors Turistik is merkezi,,mall,,28.9781982,41.0337869,ors turistik is,False,demiroren istiklal,54.54545454545455,False,False
Atlas Pasajı,,mall,,28.9792135,41.0341134,atlas pasaj,False,mayadrom akatlar,51.851851851851855,False,False
Terkos Pasajı,,mall,,28.9755901,41.031056,terkos pasaj,False,atirus,44.44444444444444,False,False
Canpark Alışveriş Merkezi,,mall,,29.1063989,41.0247304,canpark al sveris,False,cevahir al sveris,76.47058823529412,False,False
Acrloft,,mall,,29.1138195,41.1091663,acrloft,False,airport,57.142857142857146,False,False
Happy Center,,mall,,28.7466293,41.0635802,happy,False,capacity,46.15384615384615,False,False
Cadde AVM,,mall,,29.1308692,41.0154863,cadde,False,carousel,46.15384615384615,False,False
Gamze Outlet,,mall,,29.1305796,41.015749,gamze outlet,False,olivium outlet,66.66666666666666,False,False
Mopaş,,mall,,29.1187113,40.9442662,mopas,False,autopia,50.0,False,False
A.V.M. 34,,mall,,29.1327767,40.9237154,a v m 34,False,atakoy plus al sveris,34.48275862068965,False,False
Sancak Park AVM,,mall,,29.2107767,41.0102509,sancak park,False,green park,57.142857142857146,False,False
Ender,,mall,,28.9500082,41.0093125,ender,False,veneris,66.66666666666666,False,False
Hayyam Çarşısı,,mall,,28.9762417,41.0142881,hayyam cars s,False,mayadrom akatlar,48.275862068965516,False,False
ALIŞVERİŞ ELKTRONİK,,mall,,28.974956,41.0133301,elktronik,False,metro,57.142857142857146,False,False
Bolis Pirlanta,,mall,,28.9738089,41.009067,bolis pirlanta,False,perlavista,50.0,False,False
imç çarşısı 3.blok,,mall,,28.9580718,41.018166,imc cars s 3 blok,False,sapphire cars,47.05882352941177,False,False
Kalvi Center,,mall,,28.9560381,41.007992,kalvi,False,galleria,46.15384615384615,False,False
evim avm,,mall,,28.9384282,41.0073322,evim,False,perlavista,42.857142857142854,False,False
Fatih Ucuzluk Pazarı,,mall,,28.9448993,41.0288543,fatih ucuzluk pazar,False,hayatpark outlet,45.714285714285715,False,False
Babaman Center,,mall,,28.9564944,41.0089911,babaman,False,bauhaus,42.857142857142854,False,False
Aksa İş Merkez,,mall,,28.9540425,41.0081869,aksa is merkez,False,merkez kayasehir,66.66666666666666,False,False
Hakan Bazaar,,mall,,28.9558264,41.00719,hakan bazaar,False,mayadrom akatlar,50.0,False,False
Çin pazarı,,mall,,28.9433505,41.0171464,cin pazar,False,green park,52.63157894736842,False,False
TAKIDASANAT ATÖLYE,,mall,,28.9718013,41.0092695,takidasanat atolye,False,city s nisantas,48.484848484848484,False,False
mytopuk,,mall,,28.9665015,41.0079709,mytopuk,False,metro,50.0,False,False
Sözen Center,,mall,,28.9659945,41.0079475,sozen,False,espri outlet,35.294117647058826,False,False
Kent Center,,mall,,28.9667084,41.0071959,kent,False,metro,44.44444444444444,False,False
Kapalıçarşı Mercan Kapısı,,mall,,28.9690068,41.0118115,kapal cars mercan kap s,False,sapphire cars,50.0,False,False
Confident,,mall,,28.861258,41.1054442,confident,False,city s nisantas,41.666666666666664,False,False
Showland,,mall,,28.8608588,41.1061834,showland,False,astoria,40.0,False,False
Göknur Alışveriş,,mall,,29.2689354,40.9716864,goknur al sveris,False,kanyon al sveris,75.0,False,False
Hakmar,,mall,,29.2662451,40.9764436,hakmar,False,kadir has,66.66666666666666,False,False
Hakim,,mall,,29.272505,40.9503208,hakim,False,kadir has,57.142857142857146,False,False
Kırtasiye Tühafiye,,mall,,29.278122,40.94942,k rtasiye tuhafiye,False,merkez kayasehir,41.1764705882353,False,False
Hakmar,,mall,,29.2693007,40.9708833,hakmar,False,kadir has,66.66666666666666,False,False
Çocuk Dünyası,,mall,,29.274766,40.9669492,cocuk dunyas,False,carousel,40.0,False,False
Sezer AVM,,mall,,29.2738255,40.9718445,sezer,False,veneris,50.0,False,False
Hakmar,,mall,,29.2718621,40.9681239,hakmar,False,kadir has,66.66666666666666,False,False
Hakmar,,mall,,29.2746438,40.9497888,hakmar,False,kadir has,66.66666666666666,False,False
Oruklar Avm,,mall,,29.2695549,40.9529929,oruklar,False,marmara forum,50.0,False,False
Gönen Alışveriş Merkezi,,mall,,29.2662554,40.9763406,gonen al sveris,False,kanyon al sveris,77.41935483870968,False,False
Yağmur Kırtasiye,,mall,,29.2756976,40.9739451,yagmur k rtasiye,False,akbat al sveris ve yasam,50.0,False,False
Hakmar,,mall,,29.2720019,40.9562832,hakmar,False,kadir has,66.66666666666666,False,False
Hakmar,,mall,,29.2763328,40.968719,hakmar,False,kadir has,66.66666666666666,False,False
Güleryüz AVM,,mall,,29.2752582,40.9669832,guleryuz,False,galleria,50.0,False,False
Nisanur Ucuzluk Pazarı,,mall,,29.2696461,40.9730554,nisanur ucuzluk pazar,False,mesa studio plaza,47.36842105263158,False,False
Ayaz AVM,,mall,,29.283905,40.945445,ayaz,False,aymerkez,50.0,False,False
Hakmar,,mall,,29.2760592,40.9686874,hakmar,False,kadir has,66.66666666666666,False,False
guvendir zuccaciye,,mall,,29.2821524,40.9523217,guvendir zuccaciye,False,veneris,40.0,False,False
Pusula Orman Ürünleri,,mall,,29.2656747,40.9804154,pusula orman urunleri,False,mesa studio plaza,47.36842105263158,False,False
Güleryüz,,mall,,29.2820928,40.9536596,guleryuz,False,galleria,50.0,False,False
Öz keskin metal,,mall,,29.2634367,40.9755926,oz keskin metal,False,kemermall,50.0,False,False
Özkuruşlar,,mall,,29.2575982,40.9814112,ozkuruslar,False,carrefoursa,47.61904761904762,False,False
Sena Stone,,mall,,29.2600062,40.9727981,sena stone,False,astoria,47.05882352941177,False,False
Confident,,mall,,29.2706635,40.965913,confident,False,city s nisantas,41.666666666666664,False,False
Md fulla,,mall,,29.2668008,40.9659496,md fulla,False,mayadrom akatlar,41.666666666666664,False,False
Küçük çarşı,,mall,,29.2669295,40.9662008,kucuk cars,False,sapphire cars,57.142857142857146,False,False
Beşyıldız Alışveriş Merkezi,,mall,,29.1762078,41.0289247,besy ld z al sveris,False,kanyon al sveris,72.0,False,False
Hakmar,,mall,,29.2776333,40.9650254,hakmar,False,kadir has,66.66666666666666,False,False
Ucuzluk pazari,,mall,,29.2763114,40.9802059,ucuzluk pazari,False,espri outlet,46.15384615384615,False,False
Bereket kahvalti dünyasi,,mall,,29.2755604,40.9680392,bereket kahvalti dunyasi,False,demiroren istiklal,42.857142857142854,False,False
Hakmar,,mall,,29.2747121,40.9802759,hakmar,False,kadir has,66.66666666666666,False,False
Yedikapi endüstriyel ürünler,,mall,,29.3003318,40.9454251,yedikapi endustriyel urunler,False,espri outlet,40.0,False,False
