name,amenity,longitude,latitude,health_type,name_norm
Özel Küplüce Tıp Merkez,hospital,29.0522183,41.0396776,other_health,ozel kupluce tıp merkez
Özel Remedy Hospital,hospital,29.2368748,40.8787769,other_health,ozel remedy hospital
Acıbadem Hospital,hospital,28.8730593,40.977664,other_health,acıbadem hospital
Alataş Polikliniği,hospital,28.6806966,41.0347149,other_health,alatas poliklinigi
Özel Avcılar Hospital,hospital,28.709593,40.9947818,other_health,ozel avcılar hospital
İstanbul Tüpbebek,hospital,28.9983966,41.0554676,other_health,istanbul tupbebek
Mecidiyeköy KBB ve Vertigo Kliniği,hospital,28.995985,41.06524,other_health,mecidiyekoy kbb ve vertigo klinigi
Acıbadem Taksim,hospital,28.9820377,41.0412184,other_health,acıbadem taksim
Beyoglu,hospital,28.974911,41.0314549,other_health,beyoglu
istanbul Eğitim ve Araştırma Hastanesi Poliklinikleri,hospital,28.9457972,41.0092457,clinic_dental,istanbul egitim ve arastırma hastanesi poliklinikleri
İstanbul Üniversitesi Kardiyoloji enistitusu,hospital,28.9432435,41.0091541,other_health,istanbul universitesi kardiyoloji enistitusu
Özel İstanbul Şafak Hastahanesi,hospital,28.8999746,41.0656093,other_health,ozel istanbul safak hastahanesi
Özel gop Yaşam Diyaliz Merkezi,hospital,28.8645332,41.1049081,other_health,ozel gop yasam diyaliz merkezi
Dora Hospital,hospital,29.0010012,41.0589817,other_health,dora hospital
Neolife,hospital,29.0200903,41.0704006,other_health,neolife
Aksa,hospital,28.826181,41.0314854,other_health,aksa
Tempo OSGB - İşe Giriş Sağlık Raporu,hospital,29.0929142,41.0270348,other_health,tempo osgb - ise giris saglık raporu
İstanbullu OSGB,hospital,28.8059014,41.0800511,other_health,istanbullu osgb
Doktor Levent Polikliniği,hospital,28.9864126,41.0624452,other_health,doktor levent poliklinigi
Özel Elitium,hospital,28.6760478,41.0603661,other_health,ozel elitium
Bayrampaşa 1 Nolu Yabancı Uyruklular Polikliniği,hospital,28.9070788,41.0303249,other_health,bayrampasa 1 nolu yabancı uyruklular poliklinigi
Bağcılar 28 Nolu Aile Sağlığı Merkezi,hospital,28.8201612,41.0431277,other_health,bagcılar 28 nolu aile saglıgı merkezi
Acil Tıp Kliniği,hospital,28.9370757,41.0028506,other_health,acil tıp klinigi
Alpha Hair Central,hospital,28.992022,41.0613263,other_health,alpha hair central
Hasanpaşa Aile Sağlığı Merkezi,hospital,29.0428574,40.9973977,other_health,hasanpasa aile saglıgı merkezi
Bakırköy 4 Nolu Aile Sağlığı Merkezi,hospital,28.8718638,40.9785089,other_health,bakırkoy 4 nolu aile saglıgı merkezi
Op.Dr.Alper Tuncel,hospital,28.9910859,41.0516267,other_health,op.dr.alper tuncel
Medient,hospital,29.0927519,40.9826508,other_health,medient
Büyükçekmece Aile Sağlığı Merkezi,hospital,28.5786177,41.0203306,other_health,buyukcekmece aile saglıgı merkezi
Sağlık Ocağı,hospital,28.6041953,41.0168104,other_health,saglık ocagı
Bahceci,hospital,29.0418888,41.0221279,other_health,bahceci
Medihaus,hospital,28.6568742,41.0133418,other_health,medihaus
Maltepe 4 Nolu Aile Hekimliği,hospital,29.1167634,40.9410585,other_health,maltepe 4 nolu aile hekimligi
ARES Psikolojik Danışmanlık Merkezi,hospital,29.1338782,40.9226879,other_health,ares psikolojik danısmanlık merkezi
Küçükbakkalköy Aile Sağlığı Merkezi,hospital,29.1255715,40.9804944,other_health,kucukbakkalkoy aile saglıgı merkezi
Op.Dr.Alper TUNCEL,hospital,28.9910831,41.0517202,other_health,op.dr.alper tuncel
Üsküdar Üniversitesi Diş Hastanesi,hospital,29.1157001,41.0276144,clinic_dental,uskudar universitesi dis hastanesi
Dr Ezgi Özkur,hospital,28.9909873,41.0492903,other_health,dr ezgi ozkur
Acıbadem,hospital,28.8860229,41.1797497,other_health,acıbadem
Patológia,hospital,28.9383347,41.003674,other_health,patologia
Aktif International Hospital,hospital,29.0174216,41.0230164,other_health,aktif international hospital
Selimpaşa Aile Sağlığı Merkezi,hospital,28.3671171,41.0554262,other_health,selimpasa aile saglıgı merkezi
Eyüp Kemerburgaz Aile Sağlığı Merkezi,hospital,28.91162,41.159064,other_health,eyup kemerburgaz aile saglıgı merkezi
Bağcılar İşitme Engelli Rehabilitasyon Merkezi,hospital,28.8487524,41.0254232,other_health,bagcılar isitme engelli rehabilitasyon merkezi
ENT Clinic-Dr. Selcuk Guney,hospital,28.9852615,41.0550656,other_health,ent clinic-dr. selcuk guney
