name,amenity,longitude,latitude,health_type,name_norm
Beykoz Devlet Hastanesi Tepeüstü Ek Binası,hospital,29.086195618109794,41.110636459665386,hospital,beykoz devlet hastanesi tepeustu ek binası
Özel Avrasya Hastanesi,hospital,28.90667641634278,41.00324697062104,hospital,ozel avrasya hastanesi
Çatalca İlyas Çokay Devlet Hastanesi,hospital,28.466665298217087,41.1353456293818,hospital,catalca ilyas cokay devlet hastanesi
Şile Devlet Hastanesi,hospital,29.61684520544166,41.17461824424925,hospital,sile devlet hastanesi
Zeynep Kamil Kadın Ve Çocuk Hastalıkları Eğitim Ve Araştırma Hastanesi,hospital,29.025855548704943,41.01502276485041,hospital,zeynep kamil kadın ve cocuk hastalıkları egitim ve arastırma hastanesi
Acıbadem Kozyatağı Hastanesi,hospital,29.093069004175952,40.9766747277373,hospital,acıbadem kozyatagı hastanesi
Memorial Şişli Hastanesi,hospital,28.97266473924722,41.06162585736019,hospital,memorial sisli hastanesi
"Yakacık Kadın, Doğum ve Çocuk Hastalıkları Hastanesi",hospital,29.21894297309361,40.91783628880653,hospital,"yakacık kadın, dogum ve cocuk hastalıkları hastanesi"
Bezmialem Üniversitesi Dragos Hastanesi,hospital,29.137942680056742,40.91002972227521,hospital,bezmialem universitesi dragos hastanesi
Bakırköy Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi,hospital,28.86533994085342,40.99378302241536,hospital,bakırkoy dr. sadi konuk egitim ve arastırma hastanesi
Ataşehir Memorial Hastanesi,hospital,29.10700771743645,40.98421810698039,hospital,atasehir memorial hastanesi
Ethica Hastanesi,hospital,28.872605845694785,40.997247076829886,hospital,ethica hastanesi
Üsküdar Devlet Hastanesi,hospital,29.038963609535536,41.01582271368942,hospital,uskudar devlet hastanesi
Özel Diyabet Hastanesi,hospital,29.033397763551065,40.9982598859423,hospital,ozel diyabet hastanesi
Özel Güngören Hastanesi,hospital,28.8717470638689,41.02698092619932,hospital,ozel gungoren hastanesi
Medipol Üniversitesi Sefaköy Sağlık Uygulama Merkezi Hastanesi,hospital,28.798293253529817,41.014852766494215,hospital,medipol universitesi sefakoy saglık uygulama merkezi hastanesi
Özel Ataşehir Hastanesi,hospital,29.175636133036456,40.98608579748953,hospital,ozel atasehir hastanesi
Arnavutköy Devlet Hastanesi,hospital,28.746945315256337,41.1776215444544,hospital,arnavutkoy devlet hastanesi
Avicenna Umut Hastanesi,hospital,29.17764967687745,40.89070382886792,hospital,avicenna umut hastanesi
Or-Ayahim Özel Balat Hastanesi,hospital,28.945585724741047,41.03846040257095,hospital,or-ayahim ozel balat hastanesi
SBÜ Süreyyapaşa Göğüs Hastalıkları Hastanesi,hospital,29.1406428568848,40.95056488118791,hospital,sbu sureyyapasa gogus hastalıkları hastanesi
Özel Çamlık Hastanesi,hospital,28.87009259643407,40.98939031868422,hospital,ozel camlık hastanesi
Yaşar Hastanesi,hospital,28.87283738458545,40.9837641242122,hospital,yasar hastanesi
Acıbadem Altunizade Hastanesi,hospital,29.04632447982821,41.018979207109325,hospital,acıbadem altunizade hastanesi
Medipol Mega Hastaneler Kompleksi,hospital,28.843314829965216,41.05823442170748,hospital,medipol mega hastaneler kompleksi
Bahçelievler Devlet Hastanesi,hospital,28.84428609791302,41.00633310186769,hospital,bahcelievler devlet hastanesi
Bayrampaşa Devlet Hastanesi,hospital,28.902263859587244,41.04205791831914,hospital,bayrampasa devlet hastanesi
Özel Küçükçekmece Hastanesi,hospital,28.78052552866477,40.99961636909473,hospital,ozel kucukcekmece hastanesi
Cerrahpaşa Tıp Fakültesi,hospital,28.94154159071336,41.00395500787669,other_health,cerrahpasa tıp fakultesi
Nisa Hastanesi Acil,hospital,28.829489761806595,40.998970367167495,hospital,nisa hastanesi acil
Nisa Hastanesi,hospital,28.83023840653509,40.99942581896448,hospital,nisa hastanesi
