name,amenity,shop,leisure,longitude,latitude,_name_raw,_name_norm,_access,_parking_tag,_amenity
Cevahir AVM Açık Otopark,parking,,,28.993776594562657,41.06103850295607,Cevahir AVM Açık Otopark,cevahir avm ac k otopark,,,parking
İspark - Miniatürk,parking,,,28.94947498811469,41.058415331327375,İspark - Miniatürk,ispark miniaturk,,,parking
Otopark,parking,,,29.295930214744423,41.13618165910541,Otopark,otopark,,,parking
Karadeniz Otopark,parking,,,28.884486107136592,41.07123874896932,Karadeniz Otopark,karadeniz otopark,,,parking
Metro Otopark,parking,,,29.122710229798724,40.94746033318618,Metro Otopark,metro otopark,,,parking
HAPPY CENTER Müşteri Otoparkı,parking,,,29.17899933199084,41.03240101008385,HAPPY CENTER Müşteri Otoparkı,happy center musteri otopark,,,parking
İspark Pendik Devlet Hastanesi Açık Otoparkı,parking,,,29.22891318996252,40.87747167415908,İspark Pendik Devlet Hastanesi Açık Otoparkı,ispark pendik devlet hastanesi ac k otopark,,,parking
İspark Suadiye Cep Otoparkı,parking,,,29.07355286697494,40.95848845522169,İspark Suadiye Cep Otoparkı,ispark suadiye cep otopark,,,parking
İSPARK,parking,,,29.266560833270603,40.9664451821796,İSPARK,ispark,,,parking
"Koçoğulları Otopark, Oto Yıkama",parking,,,29.262245741833937,40.96749227845036,"Koçoğulları Otopark, Oto Yıkama",kocogullar otopark oto y kama,,,parking
İZÜ Otoparkı,parking,,,28.78921585627529,41.0322199914363,İZÜ Otoparkı,izu otopark,,,parking
İspark,parking,,,28.97719208591768,41.00148535349729,İspark,ispark,,,parking
Taşyapı Özgün Katlı Otopark,parking,,,29.00272605153617,41.06368336184211,Taşyapı Özgün Katlı Otopark,tasyap ozgun katl otopark,,,parking
Çevre Otopark,parking,,,28.93859042404993,41.008523069347206,Çevre Otopark,cevre otopark,,,parking
Sultan Katlı Otopark,parking,,,28.975404145631988,41.00976880200158,Sultan Katlı Otopark,sultan katl otopark,,,parking
İSPARK,parking,,,29.01647116207733,41.10888042531919,İSPARK,ispark,,,parking
Ekinci Otoparkı,parking,,,28.94616368880731,41.00784670036624,Ekinci Otoparkı,ekinci otopark,,,parking
Altıntur Otopark,parking,,,28.94476869418495,41.00813764791624,Altıntur Otopark,alt ntur otopark,,,parking
İSPARK,parking,,,28.876296549443115,40.97371001073842,İSPARK,ispark,,,parking
İspark Beykoz Sosyal Tesisleri,parking,,,29.08629790338668,41.11337612745629,İspark Beykoz Sosyal Tesisleri,ispark beykoz sosyal tesisleri,,,parking
İspark,parking,,,29.22857261852384,40.87976899019307,İspark,ispark,,,parking
Açık Otopark,parking,,,29.126165725779213,40.99111857671043,Açık Otopark,ac k otopark,,,parking
İspark Söğütlüçeşme Açık Otoparkı,parking,,,29.038335032339297,40.992066066835214,İspark Söğütlüçeşme Açık Otoparkı,ispark sogutlucesme ac k otopark,,,parking
İspark,parking,,,28.690404534565065,41.06743064809709,İspark,ispark,,,parking
Tellioğlu Otopark,parking,,,29.087211767437363,41.02619426676379,Tellioğlu Otopark,tellioglu otopark,,,parking
İSPARK,parking,,,28.92024526664509,41.00443574504693,İSPARK,ispark,,,parking
Car Parking,parking,,,28.91531455709848,41.00284030563241,Car Parking,car parking,,,parking
İslambey Otoparkı,parking,,,28.928122517831184,41.05055574882844,İslambey Otoparkı,islambey otopark,,,parking
ESBAŞ Katlı Otopark,parking,,,28.93454461039021,41.04933899929864,ESBAŞ Katlı Otopark,esbas katl otopark,,,parking
Öz Emniyet Yediemin Otoparkı,parking,,,29.323786834295483,40.86294924761803,Öz Emniyet Yediemin Otoparkı,oz emniyet yediemin otopark,,,parking
Bi Mola Ömerli Tesisleri Otoparkı 1,parking,,,29.286714237058984,41.08918147220956,Bi Mola Ömerli Tesisleri Otoparkı 1,bi mola omerli tesisleri otopark 1,,,parking
Bi Mola Ömerli Tesisleri Otoparkı 2,parking,,,29.28724453030444,41.09054125237285,Bi Mola Ömerli Tesisleri Otoparkı 2,bi mola omerli tesisleri otopark 2,,,parking
Açık Otopark,parking,,,28.6675947718588,41.055403590755695,Açık Otopark,ac k otopark,,,parking
Açık Otopark,parking,,,28.380141592559543,41.052148928476754,Açık Otopark,ac k otopark,,,parking
Açık Otopark,parking,,,28.381811849136195,41.05168421453754,Açık Otopark,ac k otopark,,,parking
Emsey Hospital Hasta Otoparkı,parking,,,29.28810182726777,40.92321907292255,Emsey Hospital Hasta Otoparkı,emsey hospital hasta otopark,,,parking
Şeyhli Mahallesi Otoparkı,parking,,,29.286063773135712,40.91374160435342,Şeyhli Mahallesi Otoparkı,seyhli mahallesi otopark,,,parking
Ersoy Hastanesi Arkası Otoparkı,parking,,,29.29857465458592,40.91048012263788,Ersoy Hastanesi Arkası Otoparkı,ersoy hastanesi arkas otopark,,,parking
Harmandere Açık Otoparkı,parking,,,29.32532996303783,40.93027091708877,Harmandere Açık Otoparkı,harmandere ac k otopark,,,parking
Yediemin Otoparkı,parking,,,29.30900217083608,40.94200636174419,Yediemin Otoparkı,yediemin otopark,,,parking
Pendik Sahil Meydanı Katlı Otopark,parking,,,29.232617591048257,40.87496531698357,Pendik Sahil Meydanı Katlı Otopark,pendik sahil meydan katl otopark,,,parking
Pentaş Metro Otoparkı,parking,,,29.24741761730325,40.88188724708756,Pentaş Metro Otoparkı,pentas metro otopark,,,parking
Pentaş Pendik Merkez Sahil Otoparkı,parking,,,29.23623259948322,40.876229657664126,Pentaş Pendik Merkez Sahil Otoparkı,pentas pendik merkez sahil otopark,,,parking
Pentaş Marmara Hastanesi Otoparkı,parking,,,29.26331378576917,40.88775028586993,Pentaş Marmara Hastanesi Otoparkı,pentas marmara hastanesi otopark,,,parking
Mostar Katlı Otoparkı,parking,,,29.2383684036332,40.87952200181226,Mostar Katlı Otoparkı,mostar katl otopark,,,parking
İspark Pendik Katlı Otoparkı,parking,,,29.23415550799588,40.87892281058993,İspark Pendik Katlı Otoparkı,ispark pendik katl otopark,,,parking
İSPARK Bülent Ecevit Kültür Merkezi Otoparkı,parking,,,29.19712526267568,40.885190375338986,İSPARK Bülent Ecevit Kültür Merkezi Otoparkı,ispark bulent ecevit kultur merkezi otopark,,,parking
İSPARK Kartal Sahil Açık Otoparkı,parking,,,29.19025681183357,40.887345936790005,İSPARK Kartal Sahil Açık Otoparkı,ispark kartal sahil ac k otopark,,,parking
Can Otopark,parking,,,29.23127010345555,40.87728992031573,Can Otopark,can otopark,,,parking
Pendik Sahil Açık Otoparkı,parking,,,29.23157818486349,40.87234689655807,Pendik Sahil Açık Otoparkı,pendik sahil ac k otopark,,,parking
Yunus Emre Kültür Merkezi Otoparkı,parking,,,29.221171471037863,40.87961507252574,Yunus Emre Kültür Merkezi Otoparkı,yunus emre kultur merkezi otopark,,,parking
İspark Pendik Sahil Engelliler Merkez Önü Otoparkı,parking,,,29.232968771245275,40.87338210589418,İspark Pendik Sahil Engelliler Merkez Önü Otoparkı,ispark pendik sahil engelliler merkez onu otopark,,,parking
PenCR Müşteri Otoparkı,parking,,,29.22865180603371,40.87159092597238,PenCR Müşteri Otoparkı,pencr musteri otopark,,,parking
İlçe Milli Eğitim Otoparkı,parking,,,29.272684793539923,40.86992442810875,İlçe Milli Eğitim Otoparkı,ilce milli egitim otopark,,,parking
Gülistan Sofrası Müşteri Otoparkı,parking,,,29.232072129404383,40.87444976641342,Gülistan Sofrası Müşteri Otoparkı,gulistan sofras musteri otopark,,,parking
Pendik Sahil İdo Açık Otoparkı,parking,,,29.236875489977447,40.87545308341552,Pendik Sahil İdo Açık Otoparkı,pendik sahil ido ac k otopark,,,parking
İspark Pendik Marina 2 Otoparkı,parking,,,29.23358956263689,40.87324960486048,İspark Pendik Marina 2 Otoparkı,ispark pendik marina 2 otopark,,,parking
