name,amenity,shop,leisure,longitude,latitude,_name_raw,_name_norm,_access,_parking_tag,_amenity
Muratbey TIR Parkı,parking,,,28.50145633822555,41.08797423890896,Muratbey TIR Parkı,muratbey tir park,,,parking
Can TIR Parkı,parking,,,28.49564790301553,41.12052373040216,Can TIR Parkı,can tir park,,,parking
Dudullu Mninbüs Peronları,parking,,,29.16104915580157,41.01540143331121,Dudullu Mninbüs Peronları,dudullu mninbus peronlar,,,parking
Rami Sosyete Pazarı,parking,,,28.9186050821828,41.048334258686666,Rami Sosyete Pazarı,rami sosyete pazar,,,parking
Oto Mis Park,parking,,,28.90234967861096,41.04667955397273,Oto Mis Park,oto mis park,,,parking
Kuruçeşme Spor Kulübü Bülent Tatar Tesisleri,parking,,,29.035761131510203,41.06062904879116,Kuruçeşme Spor Kulübü Bülent Tatar Tesisleri,kurucesme spor kulubu bulent tatar tesisleri,,,parking
Ataşlar Tır Parkı,parking,,,28.53131724820236,41.063027779163136,Ataşlar Tır Parkı,ataslar t r park,,,parking
İETT Cihangir Mahallesi Garajı,parking,,,28.70187973804308,40.98325125786426,İETT Cihangir Mahallesi Garajı,iett cihangir mahallesi garaj,,,parking
TIR Parkı,parking,,,28.6362312278031,41.08434274248923,TIR Parkı,tir park,,,parking
TIR Parkı,parking,,,28.637665399387902,41.08341268460341,TIR Parkı,tir park,,,parking
Lalezar Oto Park,parking,,,28.925313403957983,41.00918851404601,Lalezar Oto Park,lalezar oto park,,,parking
Engelli Park Yeri,parking,,,29.307620622755184,40.92672560690547,Engelli Park Yeri,engelli park yeri,,,parking
Bi Mola Çiftalan Tesisleri 3,parking,,,28.90588488045812,41.23620075296686,Bi Mola Çiftalan Tesisleri 3,bi mola ciftalan tesisleri 3,,,parking
Bi Mola Çiftalan Tesisleri 2,parking,,,28.90666780430816,41.23617808827042,Bi Mola Çiftalan Tesisleri 2,bi mola ciftalan tesisleri 2,,,parking
Bi Mola Çiftalan Tesisleri Tır Parkı,parking,,,28.90793443113503,41.23662930899705,Bi Mola Çiftalan Tesisleri Tır Parkı,bi mola ciftalan tesisleri t r park,,,parking
Bi Mola Çiftalan Tesisleri 1,parking,,,28.908804646753083,41.23608253689431,Bi Mola Çiftalan Tesisleri 1,bi mola ciftalan tesisleri 1,,,parking
Yılmaz Yediemin,parking,,,28.48813103152728,41.02873600278005,Yılmaz Yediemin,y lmaz yediemin,,,parking
Atrium Park,parking,,,28.8458449,40.988131,Atrium Park,atrium park,,,parking
Mimar,parking,,,29.1117915,40.993654,Mimar,mimar,,,parking
Black ve White,parking,,,28.9574139,41.0250753,Black ve White,black ve white,,,parking
Carrex Oto,parking,,,28.9534722,41.0284882,Carrex Oto,carrex oto,,,parking
Ayaz Oto Park,parking,,,28.933851,41.0010824,Ayaz Oto Park,ayaz oto park,,,parking
Oto Park,parking,,,28.9306363,41.0061074,Oto Park,oto park,,,parking
Yıldız Oto Park,parking,,,28.9487544,41.0088691,Yıldız Oto Park,y ld z oto park,,,parking
Spor Oto Park,parking,,,28.9770322,41.0094389,Spor Oto Park,spor oto park,,,parking
Spor kulübü otopsi,parking,,,28.9602474,41.0198282,Spor kulübü otopsi,spor kulubu otopsi,,,parking
Kıroğlu Oto Park ve Oto Yıkama,parking,,,28.9269871,41.0172694,Kıroğlu Oto Park ve Oto Yıkama,k roglu oto park ve oto y kama,,,parking
Cekici Park,parking,,,28.9256478,41.0178378,Cekici Park,cekici park,,,parking
Topkapı Park,parking,,,28.9249933,41.0180274,Topkapı Park,topkap park,,,parking
Yeni Sur Oto Park,parking,,,28.9231754,41.011669,Yeni Sur Oto Park,yeni sur oto park,,,parking
Atafer2,parking,,,28.9297003,41.0072144,Atafer2,atafer2,,,parking
klasoto aksesuar,parking,,,29.299666,40.950799,klasoto aksesuar,klasoto aksesuar,,,parking
otobark,parking,,,28.906906,41.0079396,otobark,otobark,,,parking
Emaar Avm,parking,,,29.0721712,41.0040888,Emaar Avm,emaar avm,,,parking
Fatih TIR Parkı,parking,,,28.633526,41.0924847,Fatih TIR Parkı,fatih tir park,,,parking
Sonsuz Nakliyat & TIR Parkı,parking,,,28.6199534,41.1238229,Sonsuz Nakliyat & TIR Parkı,sonsuz nakliyat tir park,,,parking
Centilmen Erkek Berberi,parking,hairdresser,,29.0049584,41.0647963,Centilmen Erkek Berberi,centilmen erkek berberi,,,parking
vakif otolaryngology park,parking,,,28.9525786,41.0116257,vakif otolaryngology park,vakif otolaryngology park,,,parking
Kapali oto park,parking,,,28.9835691,41.0609686,Kapali oto park,kapali oto park,,,parking
Öğretmen Evi,parking,,,28.7141711,40.9721156,Öğretmen Evi,ogretmen evi,,,parking
